¿‡–Õ	Exp	Life	LifeReplenish	AttackRating	Defense	MinDamage	MaxDamage	Treasure	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	SkillName	SkillLevel	FireResist	FireResistMax	ColdResist	ColdResistMax	LightingResist	LightingResistMax	PoisonResist	PoisonResistMax	PhycicsResist	PhycicsResistMax	AiMode	AiParam1	AiParam2	AiParam3	AiParam4	AiParam5	AiParam6	AiParam7	AiParam8	AiParam9	AiParam10	AiMaxTime	PhysicalDamageBase	PhysicalMagicBase	PoisonDamageBase	PoisonMagicBase	ColdDamageBase	ColdMagicBase	FireDamageBase	FireMagicBase	LightingDamageBase	LightingMagicBase
Huu Tien Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Ngoan Cuong Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Cuu Dau Dieu Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Khoai Toc Dich	100	200	20	200	150	100	100	16	4	4	2	2			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Hung Tan Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Khinh Linh Dich	100	200	20	200	150	100	100	16	2	2	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Kim Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	100	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Moc Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	100	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Hoa Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	100	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Thuy Dich	100	200	20	200	150	100	100	16	0	0	0	0			100	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Tho Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	100	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Lanh Tu Dich	100	200	20	200	150	100	100	16	0	0	0	0			50	100	50	100	50	100	50	100	50	100	2	80	25	15	100	25	25	25	20	50		18	100	100	100	100	100	100	100	100	100	100
Thong Dung De	1000	2000	200	150	200	200	200	9	1	1	0	0			100	95	100	95	100	95	100	95	100	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
Thong Dung Trung	1000	2000	200	150	200	200	200	9	1	1	0	0			150	95	150	95	150	95	150	95	150	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
Thong Dung Cao	1000	2000	200	150	200	200	200	16	1	1	0	0			200	95	200	95	200	95	200	95	200	95	2	80	25	15	100	25	25	25	20	50		6	100	100	100	100	100	100	100	100	100	100
