TASK	SCRIPT
1	\script\timerserver.lua
2	\script\timerserver.lua
3	\script\moilam\dieukhiensever\giaodich.lua
4	\script\moilam\dieukhiensever\trangthaitk.lua
5	\script\missions\宋金战场pk战\赛程总时间触发器.lua
6	\script\class\ontime_notify.lua
7	\script\class\flower\flower1.lua
8	\script\class\flower\flower2.lua
9	\script\class\flower\flowerhead.lua
10	\script\class\ontime_marriage.lua
11	\script\missions\pktimer1.lua
12	\script\Global\jiaoben\boss2
13	\script\missions\makeboss.lua
14	\script\assexp\x4kinhnghiem.lua
15	\script\congthanh\luongbongbanghoi.lua
16	\script\congthanh\hetgiocongthanh.lua
17	\script\congthanh\hetgiothuthanh.lua
18	\script\tongkim\hetgiotongkim.lua
19	\script\admin\nhatu.lua
20	\script\nvhoangkim\nvtrungcap\timeduocthao.lua
21	\script\admin\nhatu.lua
22	\script\tongkim\delaytime.lua
