马匹编号	马匹部件编号	说明
1	0	第一行是没有装备的情况，在此处无意义。
2	10	普通黄马
3	10	普通黄马
4	10	普通黄马
5	10	普通黄马
6	10	普通黄马
7	10	普通黄马
8	10	普通黄马
9	10	普通黄马
10	10	普通黄马
11	10	普通黄马
12	6	普通青马
13	6	普通青马
14	6	普通青马
15	6	普通青马
16	6	普通青马
17	6	普通青马
18	6	普通青马
19	6	普通青马
20	6	普通青马
21	6	普通青马
22	9	普通白马
23	9	普通白马
24	9	普通白马
25	9	普通白马
26	9	普通白马
27	9	普通白马
28	9	普通白马
29	9	普通白马
30	9	普通白马
31	9	普通白马
32	5	普通黑马
33	5	普通黑马
34	5	普通黑马
35	5	普通黑马
36	5	普通黑马
37	5	普通黑马
38	5	普通黑马
39	5	普通黑马
40	5	普通黑马
41	5	普通黑马
42	8	普通红马
43	8	普通红马
44	8	普通红马
45	8	普通红马
46	8	普通红马
47	8	普通红马
48	8	普通红马
49	8	普通红马
50	8	普通红马
51	8	普通红马
52	7	乌云踏雪，顶级黑
53	3	赤兔，顶级红
54	11	绝影，顶级青
55	4	的卢，顶级黄
56	14	照夜玉狮子，顶级白
57	7	乌云踏雪，顶级黑
58	2	赤兔，顶级红
59	11	绝影，顶级青
60	4	的卢，顶级黄
61	3	照夜玉狮子，顶级白
62	12	奔宵，顶级黝黑
63	12	奔宵，顶级黝黑
64	12	奔宵，顶级黝黑
65	12	奔宵，顶级黝黑
66	12	奔宵，顶级黝黑
67	12	奔宵，顶级黝黑
68	12	奔宵，顶级黝黑
69	12	奔宵，顶级黝黑
70	12	奔宵，顶级黝黑
71	12	奔宵，顶级黝黑
72	13	翻羽，顶级雪白
73	13	翻羽，顶级雪白
74	13	翻羽，顶级雪白
75	13	翻羽，顶级雪白
76	13	翻羽，顶级雪白
77	13	翻羽，顶级雪白
78	13	翻羽，顶级雪白
79	13	翻羽，顶级雪白
80	13	翻羽，顶级雪白
81	13	翻羽，顶级雪白
82	14	飞云，顶级青白
83	14	飞云，顶级青白
84	14	飞云，顶级青白
85	14	飞云，顶级青白
86	14	飞云，顶级青白
87	14	飞云，顶级青白
88	14	飞云，顶级青白
89	14	飞云，顶级青白
90	14	飞云，顶级青白
91	14	飞云，顶级青白
92	15	赤龙驹，顶级血红
93	15	赤龙驹，顶级血红
94	15	赤龙驹，顶级血红
95	15	赤龙驹，顶级血红
96	15	赤龙驹，顶级血红
97	15	赤龙驹，顶级血红
98	15	赤龙驹，顶级血红
99	15	赤龙驹，顶级血红
100	15	赤龙驹，顶级血红
101	15	赤龙驹，顶级血红
102	16	绝地，顶级黝黑
103	16	绝地，顶级黝黑
104	16	绝地，顶级黝黑
105	16	绝地，顶级黝黑
106	16	绝地，顶级黝黑
107	16	绝地，顶级黝黑
108	16	绝地，顶级黝黑
109	16	绝地，顶级黝黑
110	16	绝地，顶级黝黑
111	16	绝地，顶级黝黑
112	17	逾辉，顶级血红
113	17	逾辉，顶级血红
114	17	逾辉，顶级血红
115	17	逾辉，顶级血红
116	17	逾辉，顶级血红
117	17	逾辉，顶级血红
118	17	逾辉，顶级血红
119	17	逾辉，顶级血红
120	17	逾辉，顶级血红
121	17	逾辉，顶级血红
122	18	腾雾，顶级棕黄
123	18	腾雾，顶级棕黄
124	18	腾雾，顶级棕黄
125	18	腾雾，顶级棕黄
126	18	腾雾，顶级棕黄
127	18	腾雾，顶级棕黄
128	18	腾雾，顶级棕黄
129	18	腾雾，顶级棕黄
130	18	腾雾，顶级棕黄
131	18	腾雾，顶级棕黄
132	19	超光，顶级棕红
133	19	超光，顶级棕红
134	19	超光，顶级棕红
135	19	超光，顶级棕红
136	19	超光，顶级棕红
137	19	超光，顶级棕红
138	19	超光，顶级棕红
139	19	超光，顶级棕红
140	19	超光，顶级棕红
141	19	超光，顶级棕红
