ÎäÆ÷×°±¸±àºÅ	ÈËÎï²¿¼þ±àºÅ	
1	2	Ãû³Æ
2	3	ÌúØ°Ê×[1]
3	3	¸Ö½£[2]
4	3	Çà·å½£[3]
5	3	ÁúÈª½£[4]
6	4	Õ¶Âí½£[5]
7	4	ÎÚ½ð½£[6]
8	4	³Ýîò[7]
9	5	Æß³ß½£[8]
10	5	ÍòØð½£[9]
11	22	ÐþÌú½£[10]
12	6	Ñüµ¶[1]
13	6	µ¥µ¶[2]
14	6	¹íÍ·µ¶[3]
15	6	Ñãôáµ¶[4]
16	7	ÔÂÑÀµ¶[5]
17	7	ÆÆ·çµ¶[6]
18	7	¹öÖé±¦µ¶[7]
19	8	ÙÈÔÂµ¶[8]
20	8	ÇàÁúµ¶[9]
21	24	´ó·çµ¶[10]
22	12	ÉÕ»ð¹÷[1]
23	12	ÆëÃ¼¹÷[2]
24	12	ÅÌ»¨¹÷[3]
25	12	»¢Î²¹÷[4]
26	13	ÉÚ°ô[5]
27	13	¸Ë°ô[6]
28	13	ÀÇÑÀ°ô[7]
29	14	»ìÌú°ô[8]
30	14	½Áº£°ô[9]
31	28	½ð¹¿°ô[10]
32	9	ÌúÇ¹[1]
33	9	³¤Ç¹[2]
34	9	µã¸ÖÇ¹[3]
35	9	¹³Á­Ç¹[4]
36	10	»·×ÓÇ¹[5]
37	10	±ªÎ²Ç¹[6]
38	10	ÑãôáÇ¹[7]
39	11	Í¸¹ÇÇ¹[8]
40	11	»ð¼âÇ¹[9]
41	26	ÆÆÌìêª[10]
42	18	ËâÍ·´¸[1]
43	18	°ËÀâ´¸[2]
44	18	ÎåÐÇ´¸[3]
45	18	Åùö¨´¸[4]
46	19	ÁÁÒø´¸[5]
47	19	ÀÇÑÀ´¸[6]
48	19	ÁÑÐÄ´¸[7]
49	20	½ð¹Ï´¸[8]
50	20	ÄõÁú´¸[9]
51	32	ÆÆÌì´¸[10]
52	15	¶ëáÒ´Ì[1]
53	15	ïÙÌúË«µ¶[2]
54	15	ÔÂÑÀ´Ì[3]
55	15	ºÚ°×Ë«µ¶[4]
56	16	Ñ©»¨ÁÁÒøµ¶[5]
57	16	Ô§Ñìµ¶[6]
58	16	Ü½ÈØµ¶[7]
59	17	ºûµûË«µ¶[8]
60	17	ÇïÓêµ¶[9]
61	30	ÍÌÈÕÕ¶[10]
62	23	Y Thien Kiem
63	23	Y Thien Kiem
64	23	Y Thien Kiem
65	23	Y Thien Kiem
66	23	Y Thien Kiem
67	23	Y Thien Kiem
68	23	Y Thien Kiem
69	23	Y Thien Kiem
70	23	Y Thien Kiem
71	23	Y Thien Kiem
72	25	Tu Khong Dao
73	25	Tu Khong Dao
74	25	Tu Khong Dao
75	25	Tu Khong Dao
76	25	Tu Khong Dao
77	25	Tu Khong Dao
78	25	Tu Khong Dao
79	25	Tu Khong Dao
80	25	Tu Khong Dao
81	25	Tu Khong Dao
82	29	Phuc Ma Con
83	29	Phuc Ma Con
84	29	Phuc Ma Con
85	29	Phuc Ma Con
86	29	Phuc Ma Con
87	29	Phuc Ma Con
88	29	Phuc Ma Con
89	29	Phuc Ma Con
90	29	Phuc Ma Con
91	29	Phuc Ma Con
92	27	Ke Nghiep Thuong
93	27	Ke Nghiep Thuong
94	27	Ke Nghiep Thuong
95	27	Ke Nghiep Thuong
96	27	Ke Nghiep Thuong
97	27	Ke Nghiep Thuong
98	27	Ke Nghiep Thuong
99	27	Ke Nghiep Thuong
100	27	Ke Nghiep Thuong
101	27	Ke Nghiep Thuong
102	33	Ham Thien Chuy
103	33	Ham Thien Chuy
104	33	Ham Thien Chuy
105	33	Ham Thien Chuy
106	33	Ham Thien Chuy
107	33	Ham Thien Chuy
108	33	Ham Thien Chuy
109	33	Ham Thien Chuy
110	33	Ham Thien Chuy
111	33	Ham Thien Chuy
112	31	Bich Hai Song Dao
113	31	Bich Hai Song Dao
114	31	Bich Hai Song Dao
115	31	Bich Hai Song Dao
116	31	Bich Hai Song Dao
117	31	Bich Hai Song Dao
118	31	Bich Hai Song Dao
119	31	Bich Hai Song Dao
120	31	Bich Hai Song Dao
121	31	Bich Hai Song Dao
122	23	Kiem
123	23	Kiem
124	23	Kiem
125	23	Kiem
126	23	Kiem
127	23	Kiem
128	23	Kiem
129	23	Kiem
130	23	Kiem
131	23	Kiem
132	25	Kiem
133	25	
134	25	
135	25	
136	25	
137	25	
138	25	
139	25	
140	25	
141	25	
142	29	
143	29	
144	29	
145	29	
146	29	
147	29	dao bk tl
148	29	
149	29	
150	29	
151	29	
152	27	
153	27	
154	27	
155	27	
156	27	
157	27	
158	27	
159	27	
160	27	
161	27	
162	25	
163	25	
164	25	
165	25	
166	25	
167	25	
168	25	
169	25	
170	25	
171	25	
172	23	
173	23	
174	23	
175	23	
176	23	
177	23	
178	23	
179	23	
180	23	
181	23	
182	25	
183	25	
184	25	
185	25	
186	25	
187	25	
188	25	
189	25	
190	25	
191	25	
192	25	
193	25	
194	25	
195	25	
196	25	
197	25	
198	25	
199	25	
200	25	
201	25	
202	3	
203	3	
204	3	
205	3	
206	4	
207	4	
208	4	
209	5	
210	5	
211	22	
212	6	
213	6	
214	6	
215	6	
216	7	
217	7	
218	7	
219	8	
220	8	
221	24	
222	12	
223	12	
224	12	
225	12	
226	13	
227	13	
228	13	
229	14	
230	14	
231	28	
232	9	
233	9	
234	9	
235	9	
236	10	
237	10	
238	10	
239	11	
240	11	
241	26	
242	18	
243	18	
244	18	
245	18	
246	19	
247	19	
248	19	
249	20	
250	20	
251	32	
252	15	
253	15	
254	15	
255	15	
256	16	
257	16	
258	16	
259	17	
260	17	
261	30	
