Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Sa Di Giíi C«	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		33	1	0	30	25	25	31	5	5																36	1	32	30	 	 			38	0			0																					
T¨ng Giíi C«	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		83	2	0	30	50	50	31	7	7																36	7	32	50	 	 			38	0			0																					
PhËt Ên Giíi C«	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai trªn ®ã cã Ên cña PhËt m«n. 		166	3	0	30	75	75	31	9	9																36	13	32	70	 	 			38	0			0																					
T¨ng Giµ Giíi C«	0	7	0	\spr\item\equip\cap\obj-ma-cap01-1.spr	28	2	2	§ai cña c¸c tiÓu Sa Di th­êng ®eo. 		266	4	0	30	100	100	31	11	11																36	19	32	90	 	 			38	0			0																					
Kh«n Léc m·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-1.spr	28	2	2	Mò ®éi b»ng b«ng th­îng h¹ng. 		400	5	0	30	125	125	31	13	13																36	26	32	110	 	 			38	0			0																					
L©m Liªn M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-2.spr	28	2	2	Lo¹i m·o lµm tõ nh÷ng lo¹i t¬ ®iÒu th­îng h¹ng. 		600	6	0	30	150	150	31	15	15																36	33	32	130	 	 			38	0			0																					
Phï Dung M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	"C¸c T¨ng L÷ trung ®¼ng th­êng ®eo, lµm b»ng thø lôa th­îng ®¼ng. "		833	7	0	30	175	175	31	17	17																36	40	32	150	 	 			38	0			0																					
ThÈm Lu©n M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-1.spr	28	2	2	"C¸c T¨ng L÷ trung ®¼ng th­êng ®eo, lµm b»ng thø lôa th­îng ®¼ng. "		1066	8	0	30	200	200	31	19	19																36	46	32	170	 	 			38	0			0																					
NiÖm Ninh M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-2.spr	28	2	2	C¸c T¨ng L÷ th­îng ®¼ng th­êng ®eo. 		1333	9	0	30	225	225	31	21	21																36	53	32	190	 	 			38	0			0																					
T× L« M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	"C¸c T¨ng L÷ th­îng ®¼ng th­êng ®eo, trªn cã Ên PhËt, §­êng T¨ng th­êng ®eo nã"		1666	10	0	30	250	250	31	23	23																36	60	32	210	 	 			38	0			0																					
