????	???????¨¤	?????¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	?¨º???¨¤¡À?	Level	
Vâ L©m MËt TŞch	4	0	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Bİ kİp tu luyÖn, gia t¨ng<color=yellow> 1 ®iÓm kü n¨ng <color> khi  sö dông, tèi ®a <color=red> 10 cuèn"	0	1	
TÈy Tuû Kinh	4	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"PhËt gia b¶o ®iÓn, gia t¨ng<color=yellow> 5 ®iÓm tiÒm n¨ng <color> khi sö dông, tèi ®a <color=red> 5 cuèn."	0	1	
ThiÕt La H¸n	4	2	\spr\item\questkey\obj_item_lection.spr	341	1	1	PhËt m«n bİ kİp. Khi sö dông nh©n ®­îc 1 - 10% kinh nghiÖm cho b¶n th©n	1	1	
Thæ §Şa Phï	4	3	\spr\item\special\Obj_TownPortal.spr	38	1	1	Gióp c¸c b¹n trë vÒ thµnh nhanh chèng <enter>NhÊp chuét ph¶I ®Ó sö dông	0	1	
§å Phæ D©y ChuyÒn An Bang	4	4	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	1	
§å Phæ NhÉn Kª HuyÕt	4	5	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	1	
§å Phæ NhÉn Cóc Hoa	4	6	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	1	
§å Phæ Ngäc Béi An Bang	4	7	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	1	
§å Phæ Nãn §Şnh Quèc	4	8	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>§Şnh Quèc ¤ Sa Ph¸t Qu¸n	0	1	
§å Phæ ¸o §Şnh Quèc	4	9	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>§Şnh Quèc Thanh Sa Tr­êng Sam	0	1	
§å Phæ Giµy §Şnh Quèc	4	10	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>§Şnh Quèc Xİch QuyÒn NhuyÔn Ngoa	0	1	
§å Phæ Bao Tay §Şnh Quèc	4	11	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>§Şnh Quèc Tö §»ng Hé UyÓn	0	1	
§å Phæ Th¾t L­ng §Şnh Quèc	4	12	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Mang tíi Thî RÌn ®Ó kÕt hîp thµnh <color=yellow>§Şnh Quèc Ng©n TÇm Yªu §¸i	0	1	
MËt TŞch C«n L«n	4	13	\spr\item\twzhuanyun\zhuanyunbao_small.spr	41	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i C«n L«n	0	1	
S­ §å LÖnh	4	14	\spr\item\questkey\taskobj126.spr	336	1	1	Dïng ®Ó nhËn 1 <color=red>®Ö tö <color>	0	1	
