08:54:38_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65182	 Xu: 906437

08:55:53_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65186	 Xu: 906437

08:57:10_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65190	 Xu: 906437

08:57:57_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65192	 Xu: 906437

08:59:44_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65207	 Xu: 906437

09:00:58_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65227	 Xu: 906437

09:05:48_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65241	 Xu: 906437

09:07:51_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65248	 Xu: 906437

09:09:17_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65251	 Xu: 906437

09:10:06_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65253	 Xu: 906437

09:10:45_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65256	 Xu: 906437

09:12:00_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65260	 Xu: 906437

09:12:37_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65263	 Xu: 906437

09:13:20_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65265	 Xu: 906437

09:13:49_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65267	 Xu: 906437

09:15:02_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65269	 Xu: 906437

09:15:34_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65271	 Xu: 906437

09:16:08_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65273	 Xu: 906437

09:16:48_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65276	 Xu: 906437

09:20:25_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65281	 Xu: 906437

09:21:22_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65284	 Xu: 906437

09:22:43_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 65288	 Xu: 906437

09:23:59_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51401	 Xu: 906437

09:25:11_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51567	 Xu: 906437

09:26:13_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51646	 Xu: 906437

09:26:41_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51654	 Xu: 906437

09:27:28_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51661	 Xu: 906437

09:29:08_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51841	 Xu: 906437

09:31:19_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51906	 Xu: 906437

09:32:12_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51910	 Xu: 906437

09:32:36_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51912	 Xu: 906437

09:34:13_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51949	 Xu: 906437

09:34:59_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51951	 Xu: 906437

09:36:34_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51956	 Xu: 906437

09:37:03_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51959	 Xu: 906437

09:38:49_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51962	 Xu: 906437

09:39:38_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51964	 Xu: 906437

09:40:14_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51967	 Xu: 906437

09:40:50_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51969	 Xu: 906437

09:41:32_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51972	 Xu: 906437

09:42:13_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51975	 Xu: 906437

09:42:53_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51978	 Xu: 906437

09:43:26_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51980	 Xu: 906437

09:46:48_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51987	 Xu: 906437

09:47:57_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51991	 Xu: 906437

09:49:36_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 51996	 Xu: 906437

09:51:32_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52002	 Xu: 906437

09:52:54_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52009	 Xu: 906437

09:53:36_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52011	 Xu: 906437

09:55:29_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52026	 Xu: 906437

09:56:36_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52032	 Xu: 906437

10:01:40_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52054	 Xu: 906437

10:11:57_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52095	 Xu: 906437

10:12:25_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52097	 Xu: 906437

10:14:19_29-03-22	 Tµi kho¶n: conquinho01	 Nh©n vËt: 5456456	 IP: 192.168.1.4 : 52104	 Xu: 999747

10:18:17_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52107	 Xu: 906437

10:18:42_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52109	 Xu: 906437

10:33:20_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52181	 Xu: 906437

10:34:24_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52183	 Xu: 906437

10:37:39_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52189	 Xu: 906437

10:42:08_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52194	 Xu: 906437

10:42:39_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52196	 Xu: 906437

10:43:45_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52198	 Xu: 906437

10:45:47_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52200	 Xu: 906437

10:55:24_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52218	 Xu: 906437

10:58:07_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52233	 Xu: 906437

10:58:20_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52235	 Xu: 906437

11:03:42_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52243	 Xu: 906437

11:03:55_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52245	 Xu: 906437

11:04:16_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52247	 Xu: 906437

11:05:17_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52252	 Xu: 906437

11:16:33_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52261	 Xu: 906437

11:19:33_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52284	 Xu: 906437

11:33:52_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52317	 Xu: 906437

11:35:16_29-03-22	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 IP: 192.168.1.4 : 52330	 Xu: 906437

15:17:32_28-02-24	 Tµi kho¶n: tranphuc	 Nh©n vËt: Ngudocconuong	 IP: 192.168.11.13 : 58181	 Xu: 1000

15:24:47_28-02-24	 Tµi kho¶n: tranphuc	 Nh©n vËt: Ngudocconuong	 IP: 192.168.11.13 : 58598	 Xu: 990

15:49:05_28-02-24	 Tµi kho¶n: tranphuc	 Nh©n vËt: Ngudocconuong	 IP: 192.168.11.13 : 59964	 Xu: 990

18:00:36_28-02-24	 Tµi kho¶n: tranphuc	 Nh©n vËt: Ngudocconuong	 IP: 192.168.11.13 : 50867	 Xu: 960

19:31:36_28-02-24	 Tµi kho¶n: tranphuc	 Nh©n vËt: Ngudocconuong	 IP: 192.168.11.13 : 56235	 Xu: 530

