00:00:06	 Tµi kho∂n: pinphan12345	 Nh©n vÀt: Vip_khi1	 DWORD ID: -211253543	 C p: 126	 IP: 14.186.109.219 : 37359	 Xu: 22	 TÊng ti“n vπn: 26881
00:01:52	 Tµi kho∂n: 8134613	 Nh©n vÀt: eeeeee	 DWORD ID: 273262228	 C p: 122	 IP: 1.53.84.204 : 57933	 Xu: 10	 TÊng ti“n vπn: 0
00:01:59	 Tµi kho∂n: 8134613	 Nh©n vÀt: xSxxtttt	 DWORD ID: -89853840	 C p: 121	 IP: 1.53.84.204 : 57935	 Xu: 10	 TÊng ti“n vπn: 213648
00:02:07	 Tµi kho∂n: leanhdung3002	 Nh©n vÀt: FireDragon	 DWORD ID: -2015974453	 C p: 126	 IP: 14.171.141.239 : 64661	 Xu: 0	 TÊng ti“n vπn: 120000
00:03:23	 Tµi kho∂n: 931995	 Nh©n vÀt: Caytien02	 DWORD ID: 518204377	 C p: 122	 IP: 1.53.84.204 : 57942	 Xu: 0	 TÊng ti“n vπn: 181863
00:03:45	 Tµi kho∂n: 931995	 Nh©n vÀt: Caytien02	 DWORD ID: 518204377	 C p: 122	 IP: 1.53.84.204 : 57947	 Xu: 0	 TÊng ti“n vπn: 181863
00:04:06	 Tµi kho∂n: hoangpo000	 Nh©n vÀt: BossSatThu	 DWORD ID: -1544296401	 C p: 120	 IP: 113.185.77.58 : 23099	 Xu: 0	 TÊng ti“n vπn: 493071
00:04:28	 Tµi kho∂n: nhuanhcdv1111	 Nh©n vÀt: nhuanh	 DWORD ID: 488183858	 C p: 1	 IP: 171.250.160.108 : 60254	 Xu: 0	 TÊng ti“n vπn: 0
00:17:24	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU04	 DWORD ID: 184343913	 C p: 120	 IP: 115.77.51.178 : 60396	 Xu: 0	 TÊng ti“n vπn: 1000
00:18:29	 Tµi kho∂n: tnkhai1989123	 Nh©n vÀt: o0oZueso0o	 DWORD ID: -1868203452	 C p: 122	 IP: 14.243.220.86 : 12702	 Xu: 56	 TÊng ti“n vπn: 14190
00:20:43	 Tµi kho∂n: trinhdinhquoc	 Nh©n vÀt: Mogana	 DWORD ID: -864393213	 C p: 125	 IP: 171.250.161.59 : 55141	 Xu: 10	 TÊng ti“n vπn: 47591
00:21:40	 Tµi kho∂n: trinhdinhquoc2	 Nh©n vÀt: LeeSin	 DWORD ID: -859832511	 C p: 126	 IP: 171.250.161.59 : 1455	 Xu: 2720	 TÊng ti“n vπn: 496498
00:22:18	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU05	 DWORD ID: 184343778	 C p: 120	 IP: 115.77.51.178 : 54597	 Xu: 0	 TÊng ti“n vπn: 1000
00:25:35	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU05	 DWORD ID: 184343778	 C p: 120	 IP: 115.77.51.178 : 56357	 Xu: 0	 TÊng ti“n vπn: 1000
00:25:39	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU04	 DWORD ID: 184343913	 C p: 120	 IP: 115.77.51.178 : 56359	 Xu: 0	 TÊng ti“n vπn: 1000
00:26:04	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU04	 DWORD ID: 184343913	 C p: 120	 IP: 115.77.51.178 : 54898	 Xu: 0	 TÊng ti“n vπn: 1000
00:28:51	 Tµi kho∂n: honganhcm15	 Nh©n vÀt: ChÿThﬁ16	 DWORD ID: -1206812439	 C p: 123	 IP: 27.2.123.133 : 64329	 Xu: 91	 TÊng ti“n vπn: 503641
00:30:29	 Tµi kho∂n: rimso3	 Nh©n vÀt: XeÕHËtÕR∏c	 DWORD ID: -133094195	 C p: 124	 IP: 115.77.51.178 : 60307	 Xu: 14	 TÊng ti“n vπn: 879342
00:33:27	 Tµi kho∂n: leanhdung3001	 Nh©n vÀt: TYŸTh«nŸS m	 DWORD ID: 1824174941	 C p: 128	 IP: 14.171.141.239 : 59455	 Xu: 2206	 TÊng ti“n vπn: 1526957
00:33:34	 Tµi kho∂n: rimso4	 Nh©n vÀt: DATAU05	 DWORD ID: 184343778	 C p: 120	 IP: 115.77.51.178 : 57810	 Xu: 0	 TÊng ti“n vπn: 1000
