08:54:38	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 1	 IP: 192.168.1.4 : 65182	 Xu: 906437	 Tæng tiÒn v¹n: 0
08:55:53	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 1	 IP: 192.168.1.4 : 65186	 Xu: 906437	 Tæng tiÒn v¹n: 0
08:57:10	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 1	 IP: 192.168.1.4 : 65190	 Xu: 906437	 Tæng tiÒn v¹n: 0
08:57:57	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 1	 IP: 192.168.1.4 : 65192	 Xu: 906437	 Tæng tiÒn v¹n: 0
08:59:44	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 1	 IP: 192.168.1.4 : 65207	 Xu: 906437	 Tæng tiÒn v¹n: 0
09:00:58	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 1	 IP: 192.168.1.4 : 65227	 Xu: 906437	 Tæng tiÒn v¹n: 0
09:05:48	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65241	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:07:51	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65248	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:09:17	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65251	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:10:06	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65253	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:10:45	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65256	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:12:00	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65260	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:12:37	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65263	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:13:20	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65265	 Xu: 906437	 Tæng tiÒn v¹n: 2000
09:13:49	 Tµi kho¶n: tranphuc	 Nh©n vËt: Killer	 DWORD ID: -826972883	 CÊp: 120	 IP: 192.168.1.4 : 65267	 Xu: 906437	 Tæng tiÒn v¹n: 2000
