Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	AruraSkill	AruraSkillLevel	PassSkill	PassSkillLevel	ExpNumber	ExpParam	LifeParam	LifeReplenish	ARParam	DefenseParam	MinDamageParam	MaxDamageParam	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime	TypeNpc	RateBoss	ShareDame	PencentDameAdd	NumObjT	DirObjT
H­¬u §èm	0	5	0	1			103				ani061	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	74	80	1	50	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai0x.ini	25	0	10	0	0		
H­¬u §èm	0	5	1	1			103				ani061	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	74	80	1	50	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai0x.ini	25	0	10	0	0		
H­¬u §èm	0	5	2	1			103				ani061	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	74	80	1	50	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai0x.ini	25	0	10	0	0		
H­¬u §èm	0	5	3	1			103				ani061	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	74	80	1	50	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai0x.ini	25	0	10	0	0		
H­¬u §èm	0	5	4	1			103				ani061	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	74	80	1	50	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai0x.ini	25	0	10	0	0		
NhÝm	0	5	0	1			61				ani019	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	184	150	2	100	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai1x.ini	25	0	10	0	0		
NhÝm	0	5	1	1			61				ani019	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	184	150	2	100	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai1x.ini	25	0	10	0	0		
NhÝm	0	5	2	1			61				ani019	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	184	150	2	100	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai1x.ini	25	0	10	0	0		
NhÝm	0	5	3	1			61				ani019	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	184	150	2	100	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai1x.ini	25	0	10	0	0		
NhÝm	0	5	4	1			61				ani019	0	0	0	0	0	37	38	20	11	10	10	406	1	406	1	406	1	406	1					1	184	150	2	100	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai1x.ini	25	0	10	0	0		
Sãi Xanh	0	5	0	1			53				ani011	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	404	1000	2	200	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai2x.ini	25	0	10	0	0		
Sãi Xanh	0	5	1	1			53				ani011	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	404	1000	2	200	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai2x.ini	25	0	10	0	0		
Sãi Xanh	0	5	2	1			53				ani011	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	404	1000	2	200	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai2x.ini	25	0	10	0	0		
Sãi Xanh	0	5	3	1			53				ani011	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	404	1000	2	200	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai2x.ini	25	0	10	0	0		
Sãi Xanh	0	5	4	1			53				ani011	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	404	1000	2	200	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	75	\settings\droprate\quai2x.ini	25	0	10	0	0		
B¸o §èm	0	5	0	1			47				ani005	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	570	1700	3	300	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	75	\settings\droprate\quai3x.ini	25	0	10	0	0		
B¸o §èm	0	5	1	1			47				ani005	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	570	1700	3	300	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	75	\settings\droprate\quai3x.ini	25	0	10	0	0		
B¸o §èm	0	5	2	1			47				ani005	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	570	1700	3	300	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	75	\settings\droprate\quai3x.ini	25	0	10	0	0		
B¸o §èm	0	5	3	1			47				ani005	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	570	1700	3	300	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	75	\settings\droprate\quai3x.ini	25	0	10	0	0		
B¸o §èm	0	5	4	1			47				ani005	0	0	0	0	0	37	38	20	11	10	10	406	2	406	2	406	2	406	2					1	570	1700	3	300	0	0	0	6	6	25	25	350	10	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	75	\settings\droprate\quai3x.ini	25	0	10	0	0		
Thñ VÖ	0	5	0	1			244				enemy135	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	974	3000	3	400	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai4x.ini	25	0	10	0	0		
Thñ VÖ	0	5	1	1			244				enemy135	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	974	3000	3	400	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai4x.ini	25	0	10	0	0		
Thñ VÖ	0	5	2	1			244				enemy135	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	974	3000	3	400	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai4x.ini	25	0	10	0	0		
Thñ VÖ	0	5	3	1			244				enemy135	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	974	3000	3	400	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai4x.ini	25	0	10	0	0		
Thñ VÖ	0	5	4	1			244				enemy135	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	974	3000	3	400	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai4x.ini	25	0	10	0	0		
Trém Má	0	5	0	1			240				enemy131	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	1124	6000	3	500	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai5x.ini	25	0	10	0	0		
Trém Má	0	5	1	1			240				enemy131	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	1124	6000	3	500	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai5x.ini	25	0	10	0	0		
Trém Má	0	5	2	1			240				enemy131	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	1124	6000	3	500	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai5x.ini	25	0	10	0	0		
Trém Má	0	5	3	1			240				enemy131	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	1124	6000	3	500	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai5x.ini	25	0	10	0	0		
Trém Má	0	5	4	1			240				enemy131	0	0	0	0	0	37	38	20	11	10	10	406	3	406	3	406	3	406	3					1	1124	6000	3	500	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai5x.ini	25	0	10	0	0		
R¾n §éc	0	5	0	1			80				ani038	0	0	0	0	0	37	38	20	11	10	10	406	4	406	4	406	4	406	4					1	1274	10000	4	600	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai6x.ini	25	0	10	0	0		
R¾n §éc	0	5	1	1			80				ani038	0	0	0	0	0	37	38	20	11	10	10	406	4	406	4	406	4	406	4					1	1274	10000	4	600	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai6x.ini	25	0	10	0	0		
R¾n §éc	0	5	2	1			80				ani038	0	0	0	0	0	37	38	20	11	10	10	406	4	406	4	406	4	406	4					1	1274	10000	4	600	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai6x.ini	25	0	10	0	0		
R¾n §éc	0	5	3	1			80				ani038	0	0	0	0	0	37	38	20	11	10	10	406	4	406	4	406	4	406	4					1	1274	10000	4	600	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai6x.ini	25	0	10	0	0		
R¾n §éc	0	5	4	1			80				ani038	0	0	0	0	0	37	38	20	11	10	10	406	4	406	4	406	4	406	4					1	1274	10000	4	600	0	0	0	6	6	25	25	350	20	350	4	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	90	100	\settings\droprate\quai6x.ini	25	0	10	0	0		
Ng©n Nha	0	5	0	1			237				enemy023	0	0	0	0	0	37	38	20	11	10	10	408	1	406	1	406	1	406	1					1	1650	19500	4	700	0	0	0	6	6	25	25	350	30	350	3	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	100	\settings\droprate\quai7x.ini	12	0	10	0	0		
Ng©n Nha	0	5	1	1			237				enemy023	0	0	0	0	0	37	38	20	11	10	10	402	1	406	1	406	1	406	1					1	1650	19500	4	700	0	0	0	6	6	25	25	350	30	350	3	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	100	\settings\droprate\quai7x.ini	12	0	10	0	0		
Ng©n Nha	0	5	2	1			237				enemy023	0	0	0	0	0	37	38	20	11	10	10	405	1	406	1	406	1	406	1					1	1650	19500	4	700	0	0	0	6	6	25	25	350	30	350	3	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	100	\settings\droprate\quai7x.ini	12	0	10	0	0		
Ng©n Nha	0	5	3	1			237				enemy023	0	0	0	0	0	37	38	20	11	10	10	403	1	406	1	406	1	406	1					1	1650	19500	4	700	0	0	0	6	6	25	25	350	30	350	3	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	100	\settings\droprate\quai7x.ini	12	0	10	0	0		
Ng©n Nha	0	5	4	1			237				enemy023	0	0	0	0	0	37	38	20	11	10	10	404	1	406	1	406	1	406	1					1	1650	19500	4	700	0	0	0	6	6	25	25	350	30	350	3	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	100	\settings\droprate\quai7x.ini	12	0	10	0	0		
§«ng B¾c Hæ	0	5	0	1			239				ani001	0	0	0	0	0	37	38	20	11	10	10	408	1	406	1	406	1	406	1					1	2400	25000	5	800	0	0	0	6	6	25	25	350	30	350	3	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	100	\settings\droprate\quai8x.ini	12	0	10	0	0		
§«ng B¾c Hæ	0	5	1	1			239				ani001	0	0	0	0	0	37	38	20	11	10	10	402	1	406	1	406	1	406	1					1	2400	25000	5	800	0	0	0	6	6	25	25	350	30	350	3	35	25	25	25	20	10	50	0	0	0	0	0	0	0	50	50	50	50	50	18	100	\settings\droprate\quai8x.ini	12	0	10	0	0		
