Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Th¶o Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes01.spr	26	2	2	"Lo¹i giµy b»ng cá th­êng, chÕ t¸c th« s¬. "		23	1	0	30	7	7	31	20	20																36	1	32	20	 	 			38	0			0																					
Bè Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes01.spr	26	2	2	Lo¹i giµy b»ng v¶i th­êng trong nh©n gian th­êng dïng. 		86	2	0	30	12	12	31	20	20																36	8	32	29	 	 			38	0			0																					
Thiªn tÇng bè Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes02.spr	26	2	2	"Lo¹i giµy v¶i dµy, mµu x¸m tro. "		216	3	0	30	18	18	31	20	20																36	14	32	39	 	 			38	0			0																					
C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes02.spr	26	2	2	Lo¹i giµy ®­îc tinh chÕ tõ cá C¸t ®»ng. 		333	4	0	30	24	24	31	20	20																36	20	32	49	 	 			38	0			0																					
Th­¬ng C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes03.spr	26	2	2	"Dïng lo¹i C¸t §µng l©u n¨m, tÝnh dÎo cùc cao. "		533	5	0	30	30	30	31	20	20																36	27	32	59	 	 			38	0			0																					
B¸ch Niªn Th­¬ng C¸t Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes03.spr	26	2	2	Lo¹i giµy cá ®­îc dïng nhiÒu ë vïng V©n Nam. 		833	6	0	30	36	36	31	20	20																36	33	32	69	 	 			38	0			0																					
TrÜ VÜ Tèng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Lo¹i giµy cùc phÈm ®· cã danh tiÕng h¬n tr¨m n¨m. 		1100	7	0	30	42	42	31	20	20																36	40	32	79	 	 			38	0			0																					
Giao Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Lo¹i giµy ®­îc lµm tõ l«ng chim trÜ. 		1283	8	0	30	48	48	31	20	20																36	47	32	89	 	 			38	0			0																					
Phong VÜ Tèng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	"Lo¹i giµy ®­îc lµm tõ t¬ lôa cùc hiÕm, chØ cã ë ph­¬ng Nam. "		1666	9	0	30	54	54	31	20	20																36	54	32	99	 	 			38	0			0																					
Cöu TiÕt X­¬ng VÜ Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	"Lo¹i giµy ®­îc kÕt tõ lo¹i cá Cöu TiÕt X­¬ng ë cè h­¬ng cña KhuÊt Nguyªn, nhÑ nh­ng ch¾c ch¾n "		2133	10	0	30	60	60	31	20	20																36	60	32	109	 	 			38	0			0																					
Ng­u B× ngoa	0	5	1	\spr\item\equip\boots\obj-shoes06.spr	26	2	2	Lo¹i giµy lµm b»ng da bß th«ng th­êng. 		50	1	0	30	17	17	31	20	20																36	3	32	30	 	 			38	0			0																					
TËt Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes06.spr	26	2	2	Lo¹i giµy lµm tõ lo¹i cá ®Æc biÖt. 		200	2	0	30	28	28	31	20	20																36	10	32	44	 	 			38	0			0																					
¤ B× Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes07.spr	26	2	2	Lo¹i giµy da bß nh­ng ®· qua tinh chÕ. 		466	3	0	30	42	42	31	20	20																36	16	32	59	 	 			38	0			0																					
§»ng Méng Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes07.spr	26	2	2	Lo¹i giµy th­îng ®¼ng tinh chÕ tõ cá §»ng Méng. 		800	4	0	30	56	56	31	20	20																36	22	32	74	 	 			38	0			0																					
