µÈ¼¶	chuyensinh0	chuyensinh1	chuyensinh2	chuyensinh3	chuyensinh4	chuyensinh5	
1	20	20	20	20	20	20	10
2	100	100	100	100	100	100	
3	220	220	220	220	220	220	
4	380	380	380	380	380	380	
5	580	580	580	580	580	580	
6	820	820	820	820	820	820	
7	1100	1100	1100	1100	1100	1100	
8	1420	1420	1420	1420	1420	1420	
9	1780	1780	1780	1780	1780	1780	
10	2180	2180	2180	2180	2180	2180	
11	2620	2620	2620	2620	2620	2620	
12	3140	3140	3140	3140	3140	3140	
13	3740	3740	3740	3740	3740	3740	
14	4420	4420	4420	4420	4420	4420	
15	5180	5180	5180	5180	5180	5180	
16	6020	6020	6020	6020	6020	6020	
17	6940	6940	6940	6940	6940	6940	
18	7940	7940	7940	7940	7940	7940	
19	9020	9020	9020	9020	9020	9020	
20	10180	10180	10180	10180	10180	10180	
21	11420	11420	11420	11420	11420	11420	
22	12780	12780	12780	12780	12780	12780	
23	14260	14260	14260	14260	14260	14260	
24	15860	15860	15860	15860	15860	15860	
25	17580	17580	17580	17580	17580	17580	
26	19420	19420	19420	19420	19420	19420	
27	21380	21380	21380	21380	21380	21380	
28	23460	23460	23460	23460	23460	23460	
29	25660	25660	25660	25660	25660	25660	
30	27980	27980	27980	27980	27980	27980	
31	30420	30420	30420	30420	30420	30420	
32	33080	33080	33080	33080	33080	33080	
33	35960	35960	35960	35960	35960	35960	
34	39060	39060	39060	39060	39060	39060	
35	42380	42380	42380	42380	42380	42380	
36	45920	45920	45920	45920	45920	45920	
37	49680	49680	49680	49680	49680	49680	
38	53660	53660	53660	53660	53660	53660	
39	57860	57860	57860	57860	57860	57860	
40	62280	62280	62280	62280	62280	62280	
41	66920	66920	66920	66920	66920	66920	
42	72080	72080	72080	72080	72080	72080	
43	77760	77760	77760	77760	77760	77760	
44	83960	83960	83960	83960	83960	83960	
45	90680	90680	90680	90680	90680	90680	
46	97920	97920	97920	97920	97920	97920	
47	105680	105680	105680	105680	105680	105680	
48	113960	113960	113960	113960	113960	113960	
49	122760	122760	122760	122760	122760	122760	
50	132080	132080	132080	132080	132080	132080	
51	141920	141920	141920	141920	141920	141920	
52	153200	153200	153200	153200	153200	153200	
53	165920	165920	165920	165920	165920	165920	
54	180080	180080	180080	180080	180080	180080	
55	195680	195680	195680	195680	195680	195680	
56	212720	212720	212720	212720	212720	212720	
57	231200	231200	231200	231200	231200	231200	
58	251120	251120	251120	251120	251120	251120	
59	272480	272480	272480	272480	272480	272480	
60	295280	295280	295280	295280	295280	295280	
61	319520	319520	319520	319520	319520	319520	
62	347640	347640	347640	347640	347640	347640	
63	379640	379640	379640	379640	379640	379640	
64	415520	415520	415520	415520	415520	415520	
65	455280	455280	455280	455280	455280	455280	
66	498920	498920	498920	498920	498920	498920	
67	546440	546440	546440	546440	546440	546440	
68	597840	597840	597840	597840	597840	597840	
69	653120	653120	653120	653120	653120	653120	
70	712280	712280	712280	712280	712280	712280	
71	775320	775320	775320	775320	775320	775320	
72	848040	848040	848040	848040	848040	848040	
73	930440	930440	930440	930440	930440	930440	
74	1022520	1022520	1022520	1022520	1022520	1022520	
75	1124280	1124280	1124280	1124280	1124280	1124280	
76	1235720	1235720	1235720	1235720	1235720	1235720	
77	1356840	1356840	1356840	1356840	1356840	1356840	
78	1487640	1487640	1487640	1487640	1487640	1487640	
