等级	升级需要经验
1	100
2	500
3	1100
4	1900
5	2900
6	4100
7	5500
8	7100
9	8900
10	10900
11	13100
12	15700
13	18700
14	22100
15	25900
16	30100
17	34700
18	39700
19	45100
20	50900
21	57100
22	63900
23	71300
24	79300
25	87900
26	97100
27	106900
28	117300
29	128300
30	139900
31	152100
32	165400
33	179800
34	195300
35	211900
36	229600
37	248400
38	268300
39	289300
40	311400
41	334600
42	360400
43	388800
44	419800
45	453400
46	489600
47	528400
48	569800
49	613800
50	660400
51	709600
52	766000
53	829600
54	900400
55	978400
56	1063600
57	1156000
58	1255600
59	1362400
60	1476400
61	1597600
62	1738200
63	1898200
64	2077600
65	2276400
66	2494600
67	2732200
68	2989200
69	3265600
70	3561400
71	3876600
72	4240200
73	4652200
74	5112600
75	5621400
76	6178600
77	6784200
78	7438200
79	8140600
80	8891400
81	9690600
82	10600800
83	11622000
84	12754200
85	13997400
86	15351600
87	16816800
88	18393000
89	20080200
90	21878400
91	23787600
92	25933000
93	28314600
94	30932400
95	33786400
96	36876600
97	40203000
98	43765600
99	47564400
100	50000000
101	50000000
102	50000000
103	50000000
104	50000000
105	50000000
106	50000000
107	50000000
108	50000000
109	50000000
110	60000000
111	60000000
112	60000000
113	60000000
114	60000000
115	60000000
116	60000000
117	60000000
118	60000000
119	60000000
120	70000000
121	70000000
122	70000000
123	70000000
124	70000000
125	70000000
126	70000000
127	70000000
128	70000000
129	70000000
130	80000000
131	80000000
132	80000000
133	80000000
134	80000000
135	80000000
136	80000000
137	80000000
138	80000000
139	80000000
140	90000000
141	90000000
142	90000000
143	90000000
144	90000000
145	90000000
146	90000000
147	90000000
148	90000000
149	90000000
150	100000000
151	100000000
152	100000000
153	100000000
154	100000000
155	100000000
156	100000000
157	100000000
158	100000000
159	100000000
160	200000000
161	200000000
162	200000000
163	200000000
164	200000000
165	200000000
166	200000000
167	200000000
168	200000000
169	200000000
170	300000000
171	300000000
172	300000000
173	300000000
174	300000000
175	300000000
176	300000000
177	300000000
178	300000000
179	300000000
180	400000000
181	400000000
182	400000000
183	400000000
184	400000000
185	400000000
186	400000000
187	400000000
188	400000000
189	400000000
190	500000000
191	500000000
192	500000000
193	500000000
194	500000000
195	500000000
196	500000000
197	500000000
198	500000000
199	500000000
200	1000000000
