道具种类	具体类别	详细类别	五行属性	等级	TypeKTC	TypeTL	TypeVD
1	0	0	0	1			
1	0	0	0	2			
1	0	0	0	3			
1	0	0	0	4			
1	0	0	0	5			
1	1	0	0	1			
1	1	0	0	2			
1	1	0	0	3			
1	1	0	0	4			
1	1	0	0	5			
1	2	0	0	1			
1	2	0	0	2			
1	2	0	0	3			
1	2	0	0	4			
1	2	0	0	5			
1	3	0	0	1			
1	3	0	0	2			
1	3	0	0	3			
1	1	0	0	1			
1	1	0	0	2			
1	3	0	0	1			
1	3	0	0	2			
1	3	0	0	3			
1	3	0	0	4			
1	3	0	0	5			
0	2	0	0	1			
0	2	1	0	1			
0	2	2	0	1			
0	2	3	0	1			
0	2	4	0	1			
0	2	5	0	1			
0	2	6	0	1			
0	2	7	0	1			
0	2	8	0	1			
0	2	9	0	1			
0	6	0	0	1			
0	6	0	0	2			
0	6	0	0	3			
0	6	0	0	4			
0	6	0	0	5			
0	6	1	0	1			
0	6	1	0	2			
0	6	1	0	3			
0	6	1	0	4			
0	6	1	0	5			
0	5	0	0	1			
0	5	0	0	2			
0	5	0	0	3			
0	5	0	0	4			
0	5	1	0	1			
0	5	1	0	2			
0	5	1	0	3			
0	5	1	0	4			
0	5	2	0	1			
0	5	2	0	2			
0	8	0	0	1			
0	8	0	0	2			
0	8	0	0	3			
0	8	0	0	4			
0	8	0	0	5			
0	8	1	0	1			
0	8	1	0	2			
0	8	1	0	3			
0	8	1	0	4			
0	8	1	0	5			
0	7	1	0	1			
0	7	2	0	1			
0	7	3	0	1			
0	7	4	0	1			
0	7	5	0	1			
0	7	6	0	1			
0	7	7	0	1			
0	7	8	0	1			
0	7	9	0	1			
0	7	10	0	1			
5	0	0	0	1			
0	0	0	0	1			
0	0	0	0	2			
0	0	0	0	3			
0	0	0	0	4			
0	0	0	0	5			
0	0	0	0	6			
0	0	0	0	7			
0	0	0	0	8			
0	0	0	0	9			
0	0	0	0	10			
0	0	1	1	1			
0	0	1	1	2			
0	0	1	1	3			
0	0	1	1	4			
0	0	1	1	5			
0	0	1	1	6			
0	0	1	1	7			
0	0	1	1	8			
0	0	1	1	9			
0	0	1	1	10			
0	0	2	2	1			
0	0	2	2	2			
0	0	2	2	3			
0	0	2	2	4			
0	0	2	2	5			
0	0	2	2	6			
0	0	2	2	7			
0	0	2	2	8			
0	0	2	2	9			
0	0	2	2	10			
0	0	3	3	1			
0	0	3	3	2			
0	0	3	3	3			
0	0	3	3	4			
0	0	3	3	5			
0	0	3	3	6			
0	0	3	3	7			
0	0	3	3	8			
0	0	3	3	9			
0	0	3	3	10			
0	0	4	4	1			
0	0	4	4	2			
0	0	4	4	3			
0	0	4	4	4			
0	0	4	4	5			
0	0	4	4	6			
