Í·¿ø±àºÅ	²¿¼þ±àºÅ
1	20
2	2
3	2
4	2
5	2
6	3
7	3
8	3
9	4
10	4
11	4
12	5
13	5
14	5
15	5
16	6
17	6
18	6
19	7
20	7
21	7
22	8
23	8
24	8
25	8
26	9
27	9
28	9
29	10
30	10
31	10
32	11
33	11
34	11
35	11
36	12
37	12
38	12
39	13
40	13
41	13
42	14
43	14
44	14
45	14
46	15
47	15
48	15
49	16
50	16
51	16
52	17
53	17
54	17
55	17
56	18
57	18
58	18
59	19
60	19
61	19
62	20
63	20
64	20
65	20
66	21
67	21
68	21
69	22
70	22
71	22
72	2
73	2
74	2
75	2
76	3
77	3
78	3
79	4
80	4
81	4
82	5
83	5
84	5
85	5
86	6
87	6
88	6
89	7
90	7
91	7
92	8
93	8
94	8
95	8
96	9
97	9
98	9
99	10
100	10
101	10
102	11
103	11
104	11
105	11
106	12
107	12
108	12
109	13
110	13
111	13
112	14
113	14
114	14
115	14
116	15
117	15
118	15
119	16
120	16
121	16
122	17
123	17
124	17
125	17
126	18
127	18
128	18
129	19
130	19
131	19
132	20
133	20
134	20
135	20
136	21
137	21
138	21
139	22
140	22
141	22
142	16
143	16
144	16
145	16
146	16
147	16
148	16
149	16
150	16
151	16
152	13
153	13
154	13
155	13
156	13
157	13
158	13
159	13
160	13
161	13
162	4
163	4
164	4
165	4
166	4
167	4
168	4
169	4
170	4
171	4
172	13
173	13
174	13
175	13
176	13
177	13
178	13
179	13
180	13
181	13
182	9
183	9
184	9
185	9
186	9
187	9
188	9
189	9
190	9
191	9
192	9
193	9
194	9
195	9
196	9
197	9
198	9
199	9
200	9
201	9
202	4
203	4
204	4
205	4
206	4
207	4
208	4
209	4
210	4
211	4
212	4
213	4
214	4
215	4
216	4
217	4
218	4
219	4
220	4
221	4
222	19
223	19
224	19
225	19
226	19
227	19
228	19
229	19
230	19
231	19
232	10
233	10
234	10
235	10
236	10
237	10
238	10
239	10
240	10
241	10
242	10
243	10
244	10
245	10
246	10
247	10
248	10
249	10
250	10
251	10
252	7
253	7
254	7
255	7
256	7
257	7
258	7
259	7
260	7
261	7
262	7
263	7
264	7
265	7
266	7
267	7
268	7
269	7
270	7
271	7
272	2
273	2
274	2
275	2
276	3
277	3
278	3
279	4
280	4
281	4
282	5
283	5
284	5
285	5
286	6
287	6
288	6
289	7
290	7
291	7
292	8
293	8
294	8
295	8
296	9
297	9
298	9
299	10
300	10
301	10
302	11
303	11
304	11
305	11
306	12
307	12
308	12
309	13
310	13
311	13
312	14
313	14
314	14
315	14
316	15
317	15
318	15
319	16
320	16
321	16
322	17
323	17
324	17
325	17
326	18
327	18
328	18
329	19
330	19
331	19
332	20
333	20
334	20
335	20
336	21
337	21
338	21
339	22
340	22
341	22
342	2
343	2
344	2
345	2
346	3
347	3
348	3
349	4
350	4
351	4
352	5
353	5
354	5
355	5
356	6
357	6
358	6
359	7
360	7
361	7
362	8
363	8
364	8
365	8
366	9
367	9
368	9
369	10
370	10
371	10
372	11
373	11
374	11
375	11
376	12
377	12
378	12
379	13
380	13
381	13
382	14
383	14
384	14
385	14
386	15
387	15
388	15
389	16
390	16
391	16
392	17
393	17
394	17
395	17
396	18
397	18
398	18
399	19
400	19
401	19
402	20
403	20
404	20
405	20
406	21
407	21
408	21
409	22
410	22
411	22
412	8
413	8
414	8
415	8
416	9
417	9
418	9
419	10
420	10
421	10
422	8
423	8
424	8
425	8
426	9
427	9
428	9
429	10
430	10
431	10
432	13
433	13
434	13
435	13
436	13
437	13
438	13
439	13
440	13
441	13
442	13
443	13
444	13
445	13
446	13
447	13
448	13
449	13
450	13
