Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Ng­u B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash01.spr	32	2	1	Lo¹i d©y l­ng b»ng da tr©u th«ng th­êng. 		16	1	0	30	7	7	31	15	15																36	1	32	20									0																					
Lang B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash02.spr	32	2	1	"Lµm b»ng da sãi, mÒm dÎo linh ho¹t. "		100	2	0	30	12	12	31	15	15																36	8	32	29									0																					
¤ §»ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash03.spr	32	2	1	"KÕt tõ lo¹i d©y m©y 100 n¨m, r¾n ch¾c v« cïng. "		266	3	0	30	18	18	31	15	15																36	14	32	39									0																					
M·ng B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash04.spr	32	2	1	"Lµm tõ da M·ng xµ, ®Ñp vµ ch¾c v« cïng. "		600	4	0	30	24	24	31	15	15																36	20	32	49									0																					
Ng¹c B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash05.spr	32	2	1	"Lµm tõ da c¸ sÊu, ®Ñp vµ ch¾c v« cïng, cã thÓ dïng lµm binh khÝ. "		1000	5	0	30	30	30	31	15	15																36	27	32	59									0																					
T­îng B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	"Lµm tõ da voi, dµy vµ ch¾c v« cïng. "		1500	6	0	30	36	36	31	15	15																36	33	32	69									0																					
Sa B× Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	"Lµm tõ da c¸ mËp, ®ao tªn khã mµ xuyªn thñng. "		1800	7	0	30	42	42	31	15	15																36	40	32	79									0																					
Tª Gi¸c Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	"Lµm tõ da Tª Gi¸c, ®ao kiÕm th­êng khã mµ xuyªn thñng. "		2333	8	0	30	48	48	31	15	15																36	47	32	89									0																					
Long L©n Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	"Lµm tõ da Kú L©n, kh¶ n¨ng phßng Vßng tay mü. "		3166	9	0	30	54	54	31	15	15																36	54	32	99									0																					
Thiªn Tµm Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	"KÕt b»ng t¬ Thiªn TÇm, ®ao th­¬ng bÊt nhËp, kh«ng sî löa. "		4000	10	0	30	60	60	31	15	15																36	60	32	109									0																					
Tinh §ång Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash11.spr	33	2	1	D©y l­ng nÆng vµ ch¾c ch¾n		110	1	0	30	17	17	31	15	15																36	1	32	30									0																					
TÝch Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash12.spr	33	2	1	"D©y l­ng b»ng thiÕc, nhÑ nh­ng ch¾c ch¾n"		300	2	0	30	28	28	31	15	15																36	8	32	44									0																					
