Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
[§¹o Thanh Ch©n Nh©n] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¹o Thanh Ch©n Nh©n <color=yellow>		100	1	0		637	637																																																				
[Cæ B¸ch] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Cæ B¸ch <color=yellow>		100	2	0		638	638																																																				
[Hoµng LiÖt] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hoµng LiÖt <color=yellow>		100	3	0		639	639																																																				
[§oµn Méc DuÖ] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §oµn Méc DuÖ <color=yellow>		100	4	0		640	640																																																				
[Chung Linh Tö] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Chung Linh Tö <color=yellow>		100	5	0		641	641																																																				
[Hµ Linh Phiªu] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hµ Linh Phiªu <color=yellow>		100	6	0		642	642																																																				
[V­¬ng T¸] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green>V­¬ng T¸ <color=yellow>		100	7	0		643	643																																																				
[HuyÒn Gi¸c §¹i S­] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> HuyÒn Gi¸c §¹i S­ <color=yellow>		100	8	0		644	644																																																				
[§­êng BÊt NhiÔm] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §­êng BÊt NhiÔm <color=yellow>		100	9	0		645	645																																																				
[B¹ch Doanh Doanh] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> B¹ch Doanh Doanh <color=yellow>		100	10	0		646	646																																																				
[Thanh TuyÖt S­ Th¸i] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Thanh TuyÖt S­ Th¸i <color=yellow>		100	11	0		647	647																																																				
[Yªn HiÓu Th¸i] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Yªn HiÓu Th¸I <color=yellow>		100	12	0		648	648																																																				
[Hµ Nh©n Ng·] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> Hµ Nh©n Ng· <color=yellow>		100	13	0		649	649																																																				
[§¬n Tõ Nam] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> §¬n Tõ Nam <color=yellow>		100	14	0		650	650																																																				
[TuyÒn C« Tö] - MÆt N¹	0	11	0	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<enter>Sö dông sÏ biÕn thµnh <color=green> TuyÒn C« Tö <color=yellow>		100	15	0		651	651																																																				
