????	ItemGenre	DetailType	ParticularType	??????????	?????????????	???????	????	??????????	????????	????	????	????¡§¡§?????¡§¡§?	???????????1?????¡§¡§??	???????????1???????	???????????1??????????	???????????2?????¡§¡§??	???????????2???????	???????????2??????????	???????????3?????¡§¡§??	???????????3???????	???????????3??????????	???????????4?????¡§¡§??	???????????4???????	???????????4??????????	???????????5?????¡§¡§??	???????????5???????	???????????5??????????	???????????6?????¡§¡§??	???????????6???????	???????????6??????????	???????????7?????¡§¡§??	???????????7???????	???????????7??????????	????????????????1?????¡§¡§??	????????????????1????	????????????????2?????¡§¡§??	????????????????2????	????????????????3?????¡§¡§??	????????????????3????	????????????????4?????¡§¡§??	????????????????4????	????????????????5?????¡§¡§??	????????????????5????	????????????????6?????¡§¡§??	????????????????6????	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Hoµng Ngäc Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	"Lo¹i nhÉn ®eo b»ng Hoµng Ngäc th­êng thÊy, kh«ng ®¸ng gi¸. "		100	1	0																						36	1																																
NhÉn qu¶ tr¸m	0	3	0	\spr\item\equip\ring\obj-ring02.spr	37	1	1	"Lo¹i nhÉn ®eo b»ng qu¶ tr¸m th­êng thÊy, kh«ng ®¸ng gi¸. "		400	2	0																						36	7																																
Phï Dung Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	"Lo¹i nhÉn ®­îc kh·m vµo nh÷ng h¹t M· N·o nhá, kh«ng quý l¾m. "		900	3	0																						36	14																																
PhØ Thóy Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring04.spr	37	1	1	"Lo¹i nhÉn ®eo rÊt hiÕm nh×n thÊy ®­îc, gi¸ trÞ cùc quý. "		1600	4	0																						36	20																																
Thóy Lùu Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring05.spr	37	1	1	"Lo¹i nhÉn b»ng Thóy Lùu quý hiÕm, chØ nh÷ng ng­êi cã thanh danh míi ®­îc ®eo. "		2500	5	0																						36	27																																
Tæ MÉu Lôc Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	"Lo¹i nhÉn ®­îc kh¶m Tæ MÉu Lôc do MiÕn §iÖn tiÕn cèng, cùc kú cao quý. "		3600	6	0																						36	34																																
H¶i Lam B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	"Lo¹i nhÉn kh¶m H¶i Lam B¶o Th¹ch do c¸c th­¬ng nh©n n­íc ngoµi mang vµo, vËt phÈm cùc hiÕm. "		4900	7	0																						36	40																																
Hång B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Lo¹i nhÉn kh¶m Hång B¶o Th¹ch xuÊt xø tõ n­íc TÝch Lan nh­ng rÊt ®­îc l­u dông trong n­íc. 		6400	8	0																						36	47																																
Lam B¶o Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	"Lo¹i nhÉn kh¶m Lam B¶o Th¹ch do c¸c cao t¨ng mang tõ Thiªn Tróc vÒ, cùc kú cao quý. "		8100	9	0																						36	54																																
Toµn Th¹ch Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	"Lo¹i nhÉn toµn th¹ch mang tõ h¶i ngo¹i vª', nghe nãi cã tiÒm Èn mét søc m¹nh kú bÝ . "		10000	10	0																						36	60																																
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	1	0																						36	60											1	1	5	1	85	60	60	103	6	6	89	60	60									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	2	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	3	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	4	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	5	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	6	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	7	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	8	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
Kim Phong §ång T­íc Xu©n Th©m	0	3	1	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	20000	9	0																						36	60											1	1	5	1	85	60	80	103	6	18	89	60	80									
