µÈ¼¶	chuyensinh0	chuyensinh1	chuyensinh2	chuyensinh3	chuyensinh4	chuyensinh5	
1	20	100	100	48	96	96	10
2	100	500	500	240	480	480	
3	220	1100	1100	528	1056	1056	
4	380	1900	1900	912	1824	1824	
5	580	2900	2900	1392	2784	2784	
6	820	4100	4100	1968	3936	3936	
7	1100	5500	5500	2640	5280	5280	
8	1420	7100	7100	3408	6816	6816	
9	1780	8900	8900	4272	8544	8544	
10	2180	10900	10900	5232	10464	10464	
11	2620	13100	13100	6288	12576	12576	
12	3140	15700	15700	7536	15072	15072	
13	3740	18700	18700	8976	17952	17952	
14	4420	22100	22100	10608	21216	21216	
15	5180	25900	25900	12432	24864	24864	
16	6020	30100	30100	14448	28896	28896	
17	6940	34700	34700	16656	33312	33312	
18	7940	39700	39700	19056	38112	38112	
19	9020	45100	45100	21648	43296	43296	
20	10180	50900	50900	24432	48864	48864	
21	11420	57100	57100	27408	54816	54816	
22	12780	63900	63900	30672	61344	61344	
23	14260	71300	71300	34224	68448	68448	
24	15860	79300	79300	38064	76128	76128	
25	17580	87900	87900	42192	84384	84384	
26	19420	97100	97100	46608	93216	93216	
27	21380	106900	106900	51312	102624	102624	
28	23460	117300	117300	56304	112608	112608	
29	25660	128300	128300	61584	123168	123168	
30	27980	139900	139900	67152	134304	134304	
31	30420	152100	152100	73008	146016	146016	
32	33080	165400	165400	79392	158784	158784	
33	35960	179800	179800	86304	172608	172608	
34	39060	195300	195300	93744	187488	187488	
35	42380	211900	211900	101712	203424	203424	
36	45920	229600	229600	110208	220416	220416	
37	49680	248400	248400	119232	238464	238464	
38	53660	268300	268300	128784	257568	257568	
39	57860	289300	289300	138864	277728	277728	
40	62280	311400	311400	149472	298944	298944	
41	66920	334600	334600	160608	321216	321216	
42	72080	360400	360400	172992	345984	345984	
43	77760	388800	388800	186624	373248	373248	
44	83960	419800	419800	201504	403008	403008	
45	90680	453400	453400	217632	435264	435264	
46	97920	489600	489600	235008	470016	470016	
47	105680	528400	528400	253632	507264	507264	
48	113960	569800	569800	273504	547008	547008	
49	122760	613800	613800	294624	589248	589248	
50	132080	660400	660400	316992	633984	633984	
51	141920	709600	709600	340608	681216	681216	
52	153200	766000	766000	367680	735360	735360	
53	165920	829600	829600	398208	796416	796416	
54	180080	900400	900400	432192	864384	864384	
55	195680	978400	978400	469632	939264	939264	
56	212720	1063600	1063600	510528	1021056	1021056	
57	231200	1156000	1156000	554880	1109760	1109760	
58	251120	1255600	1255600	602688	1205376	1205376	
59	272480	1362400	1362400	653952	1307904	1307904	
60	295280	1476400	1476400	708672	1417344	1417344	
61	319520	1597600	1597600	766848	1533696	1533696	
62	347640	1738200	1738200	834336	1668672	1668672	
63	379640	1898200	1898200	902496	1804992	1804992	
64	415520	2077600	2077600	997248	1994496	1994496	
65	455280	2276400	2276400	1092672	2185344	2185344	
66	498920	2494600	2494600	1197408	2394816	2394816	
67	546440	2732200	2732200	1311456	2622912	2622912	
68	597840	2989200	2989200	1434816	2869632	2869632	
69	653120	3265600	3265600	1567488	3134976	3134976	
70	712280	3561400	3561400	1709472	3418944	3418944	
71	775320	3876600	3876600	1860768	3721536	3721536	
72	848040	4240200	4240200	2035296	4070592	4070592	
73	930440	4652200	4652200	2233056	4466112	4466112	
74	1022520	5112600	5112600	2454048	4908096	4908096	
75	1124280	5621400	5621400	2698272	5396544	5396544	
76	1235720	6178600	6178600	2965728	5931456	5931456	
77	1356840	6784200	6784200	3256416	6512832	6512832	
78	1487640	7438200	7438200	3570336	7140672	7140672	
79	1628120	8140600	8140600	3907488	7814976	7814976	
80	8891400	8891400	8891400	4267872	8535744	8535744	
81	9690600	9690600	9690600	4651488	9302976	9302976	
82	10600800	10600800	10600800	5088384	10176768	10176768	
83	11622000	11622000	11622000	5578560	11157120	11157120	
84	12754200	12754200	12754200	6122016	12244032	12244032	
85	13997400	13997400	13997400	6718752	13437504	13437504	
86	15351600	15351600	15351600	7368768	14737536	14737536	
87	16816800	16816800	16816800	8072064	16144128	16144128	
88	18393000	18393000	18393000	8828640	17657280	17657280	
89	20080200	20080200	20080200	9638496	19276992	19276992	
90	21003264	2000000000	200000	10501632	21003264	21003264	
91	22836096	2000000000	200000	11418048	22836096	22836096	
92	24895680	2000000000	200000	12447840	24895680	24895680	
93	27182016	2000000000	200000	13591008	27182016	27182016	
94	29695104	2000000000	200000	14847552	29695104	29695104	
95	67304832	2000000000	200000	16217472	32434944	32434944	
96	76204608	2000000000	200000	17700768	35401536	35401536	
97	95784640	2000000000	200000	19297440	38594880	38594880	
98	126044928	2000000000	200000	21007488	42014976	42014976	
99	136985472	2000000000	200000	22830912	45661824	45661824	
100	200000000	2000000000	200000	24000000	48000000	48000000	
101	200000000	2000000000	200000	24000000	48000000	48000000	
102	200000000	2000000000	200000	24000000	48000000	48000000	
103	200000000	2000000000	200000	24000000	48000000	48000000	
104	200000000	2000000000	200000	24000000	48000000	48000000	
105	200000000	2000000000	200000	24000000	48000000	48000000	
106	250000000	2000000000	200000	24000000	48000000	48000000	
107	250000000	2000000000	200000	24000000	48000000	48000000	
108	250000000	2000000000	200000	24000000	48000000	48000000	
109	250000000	2000000000	200000	24000000	48000000	48000000	
110	350000000	2000000000	200000	28800000	57600000	57600000	
111	350000000	2000000000	200000	28800000	57600000	57600000	
112	350000000	2000000000	200000	28800000	57600000	57600000	
113	350000000	2000000000	200000	28800000	57600000	57600000	
114	350000000	2000000000	200000	28800000	57600000	57600000	
115	450000000	2000000000	200000	28800000	57600000	57600000	
116	450000000	2000000000	200000	28800000	57600000	57600000	
117	450000000	2000000000	200000	28800000	57600000	57600000	
118	450000000	2000000000	200000	28800000	57600000	57600000	
119	450000000	2000000000	200000	28800000	57600000	57600000	
120	600000000	2000000000	200000	48000000	96000000	96000000	
121	600000000	2000000000	200000	48000000	96000000	96000000	
122	600000000	2000000000	200000	48000000	96000000	96000000	
