Number	Level	Point	Skill	PhucDuyen	DanhVong	Money
0	120	5	1	50	50	100000
1	120	10	2	55	55	200000
2	120	15	3	60	60	300000
3	120	20	4	65	65	400000
4	120	25	5	70	70	500000
5	120	30	6	75	75	600000
6	120	35	7	80	80	700000
7	120	40	8	85	85	800000
8	120	45	9	90	90	900000
9	120	50	10	95	95	1000000
10	125	55	11	100	100	1100000
11	125	60	12	105	105	1200000
12	125	65	13	110	110	1300000
13	125	70	14	115	115	1400000
14	125	75	15	120	120	1500000
15	125	80	16	125	125	1600000
16	125	85	17	130	130	1700000
17	125	90	18	135	135	1800000
18	125	95	19	140	140	1900000
19	125	100	20	145	145	2000000
20	125	105	21	150	150	2100000
21	125	110	22	155	155	2200000
22	125	115	23	160	160	2300000
23	125	120	24	165	165	2400000
24	125	125	25	170	170	2500000
25	130	130	26	175	175	2600000
26	130	135	27	180	180	2700000
27	130	140	28	185	185	2800000
28	130	145	29	190	190	2900000
29	130	150	30	195	195	3000000
30	130	155	31	200	200	3100000
31	130	160	32	205	205	3200000
32	130	165	33	210	210	3300000
33	130	170	34	215	215	3400000
34	130	175	35	220	220	3500000
35	135	180	36	225	225	3600000
36	135	185	37	230	230	3700000
37	135	190	38	235	235	3800000
38	135	195	39	240	240	3900000
39	135	200	40	245	245	4000000
40	135	205	41	250	250	4100000
41	135	210	42	255	255	4200000
42	135	215	43	260	260	4300000
43	135	220	44	265	265	4400000
44	135	225	45	270	270	4500000
45	140	230	46	275	275	4600000
46	140	235	47	280	280	4700000
47	140	240	48	285	285	4800000
48	140	245	49	290	290	4900000
49	140	250	50	295	295	5000000
50	140	255	51	300	300	5100000
51	140	260	52	305	305	5200000
52	140	265	53	310	310	5300000
53	140	270	54	315	315	5400000
54	140	275	55	320	320	5500000
55	145	280	56	325	325	5600000
56	145	285	57	330	330	5700000
57	145	290	58	335	335	5800000
58	145	295	59	340	340	5900000
59	145	300	60	345	345	6000000
60	145	305	61	350	350	6100000
61	145	310	62	355	355	6200000
62	145	315	63	360	360	6300000
63	145	320	64	365	365	6400000
64	145	325	65	370	370	6500000
65	145	330	66	375	375	6600000
66	145	335	67	380	380	6700000
67	145	340	68	385	385	6800000
68	145	345	69	390	390	6900000
69	145	350	70	395	395	7000000
70	145	355	71	400	400	7100000
71	145	360	72	405	405	7200000
72	145	365	73	410	410	7300000
73	145	370	74	415	415	7400000
74	145	375	75	420	420	7500000
75	145	380	76	425	425	7600000
76	145	385	77	430	430	7700000
77	145	390	78	435	435	7800000
78	145	395	79	440	440	7900000
79	145	400	80	445	445	8000000
80	145	405	81	450	450	8100000
81	145	410	82	455	455	8200000
82	145	415	83	460	460	8300000
83	145	420	84	465	465	8400000
84	145	425	85	470	470	8500000
85	150	430	86	475	475	8600000
86	150	435	87	480	480	8700000
87	150	440	88	485	485	8800000
88	150	445	89	490	490	8900000
89	150	450	90	495	495	9000000
90	150	455	91	500	500	9100000
91	150	460	92	505	505	9200000
92	150	465	93	510	510	9300000
93	150	470	94	515	515	9400000
94	150	475	95	520	520	9500000
95	150	480	96	525	525	9600000
96	150	485	97	530	530	9700000
97	150	490	98	535	535	9800000
98	150	495	99	540	540	9900000
99	150	500	100	545	545	10000000
100	150	505	101	550	550	10100000
101	150	510	102	555	555	10200000
102	150	515	103	560	560	10300000
103	150	520	104	565	565	10400000
104	150	525	105	570	570	10500000
105	150	530	106	575	575	10600000
106	150	535	107	580	580	10700000
107	150	540	108	585	585	10800000
108	150	545	109	590	590	10900000
109	150	550	110	595	595	11000000
110	150	555	111	600	600	11100000
111	150	560	112	605	605	11200000
112	150	565	113	610	610	11300000
113	150	570	114	615	615	11400000
114	150	575	115	620	620	11500000
115	150	580	116	625	625	11600000
116	150	585	117	630	630	11700000
117	150	590	118	635	635	11800000
118	150	595	119	640	640	11900000
119	150	600	120	645	645	12000000
120	150	605	121	650	650	12100000
121	150	610	122	655	655	12200000
122	150	615	123	660	660	12300000
123	150	620	124	665	665	12400000
124	150	625	125	670	670	12500000
125	150	630	126	675	675	12600000
126	150	635	127	680	680	12700000
127	150	640	128	685	685	12800000
128	150	645	129	690	690	12900000
129	150	650	130	695	695	13000000
130	150	655	131	700	700	13100000
131	150	660	132	705	705	13200000
132	150	665	133	710	710	13300000
133	150	670	134	715	715	13400000
134	150	675	135	720	720	13500000
135	150	680	136	725	725	13600000
136	150	685	137	730	730	13700000
137	150	690	138	735	735	13800000
138	150	695	139	740	740	13900000
139	150	700	140	745	745	14000000
140	150	705	141	750	750	14100000
141	150	710	142	755	755	14200000
142	150	715	143	760	760	14300000
143	150	720	144	765	765	14400000
144	150	725	145	770	770	14500000
145	155	730	146	775	775	14600000
146	155	735	147	780	780	14700000
147	155	740	148	785	785	14800000
148	155	745	149	790	790	14900000
149	155	750	150	795	795	15000000
150	155	755	151	800	800	15100000
151	155	760	152	805	805	15200000
152	155	765	153	810	810	15300000
153	155	770	154	815	815	15400000
154	155	775	155	820	820	15500000
155	155	780	156	825	825	15600000
156	155	785	157	830	830	15700000
157	155	790	158	835	835	15800000
158	155	795	159	840	840	15900000
159	155	800	160	845	845	16000000
160	155	805	161	850	850	16100000
161	155	810	162	855	855	16200000
162	155	815	163	860	860	16300000
163	155	820	164	865	865	16400000
164	155	825	165	870	870	16500000
165	155	830	166	875	875	16600000
166	155	835	167	880	880	16700000
167	155	840	168	885	885	16800000
168	155	845	169	890	890	16900000
169	155	850	170	895	895	17000000
170	155	855	171	900	900	17100000
171	155	860	172	905	905	17200000
172	155	865	173	910	910	17300000
173	155	870	174	915	915	17400000
174	155	875	175	920	920	17500000
175	155	880	176	925	925	17600000
176	155	885	177	930	930	17700000
177	155	890	178	935	935	17800000
178	155	895	179	940	940	17900000
179	155	900	180	945	945	18000000
180	155	905	181	950	950	18100000
181	155	910	182	955	955	18200000
182	155	915	183	960	960	18300000
183	155	920	184	965	965	18400000
184	155	925	185	970	970	18500000
185	155	930	186	975	975	18600000
186	155	935	187	980	980	18700000
187	155	940	188	985	985	18800000
188	155	945	189	990	990	18900000
189	155	950	190	995	995	19000000
190	155	955	191	1000	1000	19100000
191	155	960	192	1005	1005	19200000
192	155	965	193	1010	1010	19300000
193	155	970	194	1015	1015	19400000
194	155	975	195	1020	1020	19500000
195	160	980	196	1025	1025	19600000
196	160	985	197	1030	1030	19700000
197	160	990	198	1035	1035	19800000
198	160	995	199	1040	1040	19900000
199	160	1000	200	1045	1045	20000000
200	160	1005	201	1050	1050	20100000
201	160	1010	202	1055	1055	20200000
202	160	1015	203	1060	1060	20300000
203	160	1020	204	1065	1065	20400000
204	160	1025	205	1070	1070	20500000
205	160	1030	206	1075	1075	20600000
206	160	1035	207	1080	1080	20700000
207	160	1040	208	1085	1085	20800000
208	160	1045	209	1090	1090	20900000
209	160	1050	210	1095	1095	21000000
210	160	1055	211	1100	1100	21100000
211	160	1060	212	1105	1105	21200000
212	160	1065	213	1110	1110	21300000
213	160	1070	214	1115	1115	21400000
214	160	1075	215	1120	1120	21500000
215	160	1080	216	1125	1125	21600000
216	160	1085	217	1130	1130	21700000
217	160	1090	218	1135	1135	21800000
218	160	1095	219	1140	1140	21900000
219	160	1100	220	1145	1145	22000000
220	160	1105	221	1150	1150	22100000
221	160	1110	222	1155	1155	22200000
222	160	1115	223	1160	1160	22300000
223	160	1120	224	1165	1165	22400000
224	160	1125	225	1170	1170	22500000
225	160	1130	226	1175	1175	22600000
226	160	1135	227	1180	1180	22700000
227	160	1140	228	1185	1185	22800000
228	160	1145	229	1190	1190	22900000
229	160	1150	230	1195	1195	23000000
230	160	1155	231	1200	1200	23100000
231	160	1160	232	1205	1205	23200000
232	160	1165	233	1210	1210	23300000
233	160	1170	234	1215	1215	23400000
234	160	1175	235	1220	1220	23500000
235	165	1180	236	1225	1225	23600000
236	165	1185	237	1230	1230	23700000
237	165	1190	238	1235	1235	23800000
238	165	1195	239	1240	1240	23900000
239	165	1200	240	1245	1245	24000000
240	165	1205	241	1250	1250	24100000
241	165	1210	242	1255	1255	24200000
242	165	1215	243	1260	1260	24300000
243	165	1220	244	1265	1265	24400000
244	165	1225	245	1270	1270	24500000
245	165	1230	246	1275	1275	24600000
246	165	1235	247	1280	1280	24700000
247	165	1240	248	1285	1285	24800000
248	165	1245	249	1290	1290	24900000
249	165	1250	250	1295	1295	25000000
250	165	1255	251	1300	1300	25100000
251	165	1260	252	1305	1305	25200000
252	165	1265	253	1310	1310	25300000
253	165	1270	254	1315	1315	25400000
254	165	1275	255	1320	1320	25500000
255	165	1280	256	1325	1325	25600000
256	165	1285	257	1330	1330	25700000
257	165	1290	258	1335	1335	25800000
258	165	1295	259	1340	1340	25900000
259	165	1300	260	1345	1345	26000000
260	165	1305	261	1350	1350	26100000
261	165	1310	262	1355	1355	26200000
262	165	1315	263	1360	1360	26300000
263	165	1320	264	1365	1365	26400000
264	165	1325	265	1370	1370	26500000
265	165	1330	266	1375	1375	26600000
266	165	1335	267	1380	1380	26700000
267	165	1340	268	1385	1385	26800000
268	165	1345	269	1390	1390	26900000
269	165	1350	270	1395	1395	27000000
270	165	1355	271	1400	1400	27100000
271	165	1360	272	1405	1405	27200000
272	165	1365	273	1410	1410	27300000
273	165	1370	274	1415	1415	27400000
274	165	1375	275	1420	1420	27500000
275	165	1380	276	1425	1425	27600000
276	165	1385	277	1430	1430	27700000
277	165	1390	278	1435	1435	27800000
278	165	1395	279	1440	1440	27900000
279	165	1400	280	1445	1445	28000000
280	165	1405	281	1450	1450	28100000
281	165	1410	282	1455	1455	28200000
282	165	1415	283	1460	1460	28300000
283	165	1420	284	1465	1465	28400000
284	165	1425	285	1470	1470	28500000
285	170	1430	286	1475	1475	28600000
286	170	1435	287	1480	1480	28700000
287	170	1440	288	1485	1485	28800000
288	170	1445	289	1490	1490	28900000
289	170	1450	290	1495	1495	29000000
290	170	1455	291	1500	1500	29100000
291	170	1460	292	1505	1505	29200000
292	170	1465	293	1510	1510	29300000
293	170	1470	294	1515	1515	29400000
294	170	1475	295	1520	1520	29500000
295	170	1480	296	1525	1525	29600000
296	170	1485	297	1530	1530	29700000
297	170	1490	298	1535	1535	29800000
298	170	1495	299	1540	1540	29900000
299	170	1500	300	1545	1545	30000000
300	170	1505	301	1550	1550	30100000
301	170	1510	302	1555	1555	30200000
302	170	1515	303	1560	1560	30300000
303	170	1520	304	1565	1565	30400000
304	170	1525	305	1570	1570	30500000
305	170	1530	306	1575	1575	30600000
306	170	1535	307	1580	1580	30700000
307	170	1540	308	1585	1585	30800000
308	170	1545	309	1590	1590	30900000
309	170	1550	310	1595	1595	31000000
310	170	1555	311	1600	1600	31100000
311	170	1560	312	1605	1605	31200000
312	170	1565	313	1610	1610	31300000
313	170	1570	314	1615	1615	31400000
314	170	1575	315	1620	1620	31500000
315	170	1580	316	1625	1625	31600000
316	170	1585	317	1630	1630	31700000
317	170	1590	318	1635	1635	31800000
318	170	1595	319	1640	1640	31900000
319	170	1600	320	1645	1645	32000000
320	170	1605	321	1650	1650	32100000
321	170	1610	322	1655	1655	32200000
322	170	1615	323	1660	1660	32300000
323	170	1620	324	1665	1665	32400000
324	170	1625	325	1670	1670	32500000
325	170	1630	326	1675	1675	32600000
326	170	1635	327	1680	1680	32700000
327	170	1640	328	1685	1685	32800000
328	170	1645	329	1690	1690	32900000
329	170	1650	330	1695	1695	33000000
330	170	1655	331	1700	1700	33100000
331	170	1660	332	1705	1705	33200000
332	170	1665	333	1710	1710	33300000
333	170	1670	334	1715	1715	33400000
334	170	1675	335	1720	1720	33500000
335	175	1680	336	1725	1725	33600000
336	175	1685	337	1730	1730	33700000
337	175	1690	338	1735	1735	33800000
338	175	1695	339	1740	1740	33900000
339	175	1700	340	1745	1745	34000000
340	175	1705	341	1750	1750	34100000
341	175	1710	342	1755	1755	34200000
342	175	1715	343	1760	1760	34300000
343	175	1720	344	1765	1765	34400000
344	175	1725	345	1770	1770	34500000
