人物名称	人物类型	资源文件路经	部件说明文件名	武器行为关联表1	武器行为关联表2	动作贴图顺序表	头部	发型	肩膀	躯体	左手	右手	左手武器	右手武器	马前	马中	马后
男主角	特殊npc	spr\npcres\man	男主角部件列表.txt	男主角未骑马关联表.txt	男主角骑马关联表.txt	男主角贴图顺序表.txt	男主角头部.txt	男主角发型.txt	男主角肩膀.txt	男主角躯体.txt	男主角左手.txt	男主角右手.txt	男主角左手武器.txt	男主角右手武器.txt	男主角马前.txt	男主角马中.txt	男主角马后.txt
女主角	特殊npc	spr\npcres\woman	女主角部件列表.txt	女主角未骑马关联表.txt	女主角骑马关联表.txt	女主角贴图顺序表.txt	女主角头部.txt	女主角发型.txt	女主角肩膀.txt	女主角躯体.txt	女主角左手.txt	女主角右手.txt	女主角左手武器.txt	女主角右手武器.txt	女主角马前.txt	女主角马中.txt	女主角马后.txt
enemy003	普通npc	spr\npcres\enemy\enemy003															
enemy004	普通npc	spr\npcres\enemy\enemy004															
enemy005	普通npc	spr\npcres\enemy\enemy005															
enemy006	普通npc	spr\npcres\enemy\enemy006															
enemy007	普通npc	spr\npcres\enemy\enemy007															
enemy015	普通npc	spr\npcres\enemy\enemy015															
enemy016	普通npc	spr\npcres\enemy\enemy016															
enemy017	普通npc	spr\npcres\enemy\enemy017															
enemy021	普通npc	spr\npcres\enemy\enemy021															
enemy022	普通npc	spr\npcres\enemy\enemy022															
enemy023	普通npc	spr\npcres\enemy\enemy023															
enemy024	普通npc	spr\npcres\enemy\enemy024															
enemy026	普通npc	spr\npcres\enemy\enemy026															
enemy028	普通npc	spr\npcres\enemy\enemy028															
enemy029	普通npc	spr\npcres\enemy\enemy029															
enemy031	普通npc	spr\npcres\enemy\enemy031															
enemy034	普通npc	spr\npcres\enemy\enemy034															
enemy036	普通npc	spr\npcres\enemy\enemy036															
enemy037	普通npc	spr\npcres\enemy\enemy037															
enemy038	普通npc	spr\npcres\enemy\enemy038															
enemy039	普通npc	spr\npcres\enemy\enemy039															
enemy040	普通npc	spr\npcres\enemy\enemy040															
enemy041	普通npc	spr\npcres\enemy\enemy041															
enemy042	普通npc	spr\npcres\enemy\enemy042															
enemy043	普通npc	spr\npcres\enemy\enemy043															
enemy044	普通npc	spr\npcres\enemy\enemy044															
enemy045	普通npc	spr\npcres\enemy\enemy045															
enemy046	普通npc	spr\npcres\enemy\enemy046															
enemy047	普通npc	spr\npcres\enemy\enemy047															
enemy048	普通npc	spr\npcres\enemy\enemy048															
enemy049	普通npc	spr\npcres\enemy\enemy049															
enemy050	普通npc	spr\npcres\enemy\enemy050															
enemy051	普通npc	spr\npcres\enemy\enemy051															
enemy052	普通npc	spr\npcres\enemy\enemy052															
enemy053	普通npc	spr\npcres\enemy\enemy053															
enemy054	普通npc	spr\npcres\enemy\enemy054															
enemy055	普通npc	spr\npcres\enemy\enemy055															
enemy056	普通npc	spr\npcres\enemy\enemy056															
enemy057	普通npc	spr\npcres\enemy\enemy057															
enemy058	普通npc	spr\npcres\enemy\enemy058															
enemy059	普通npc	spr\npcres\enemy\enemy059															
enemy060	普通npc	spr\npcres\enemy\enemy060															
enemy061	普通npc	spr\npcres\enemy\enemy061															
enemy062	普通npc	spr\npcres\enemy\enemy062															
enemy063	普通npc	spr\npcres\enemy\enemy063															
enemy064	普通npc	spr\npcres\enemy\enemy064															
enemy065	普通npc	spr\npcres\enemy\enemy065															
enemy066	普通npc	spr\npcres\enemy\enemy066															
enemy067	普通npc	spr\npcres\enemy\enemy067															
enemy068	普通npc	spr\npcres\enemy\enemy068															
enemy069	普通npc	spr\npcres\enemy\enemy069															
enemy070	普通npc	spr\npcres\enemy\enemy070															
enemy071	普通npc	spr\npcres\enemy\enemy071															
enemy072	普通npc	spr\npcres\enemy\enemy072															
enemy073	普通npc	spr\npcres\enemy\enemy073															
enemy074	普通npc	spr\npcres\enemy\enemy074															
enemy075	普通npc	spr\npcres\enemy\enemy075															
enemy076	普通npc	spr\npcres\enemy\enemy076															
enemy077	普通npc	spr\npcres\enemy\enemy077															
enemy078	普通npc	spr\npcres\enemy\enemy078															
enemy079	普通npc	spr\npcres\enemy\enemy079															
enemy080	普通npc	spr\npcres\enemy\enemy080															
enemy081	普通npc	spr\npcres\enemy\enemy081															
enemy082	普通npc	spr\npcres\enemy\enemy082															
enemy083	普通npc	spr\npcres\enemy\enemy083															
enemy084	普通npc	spr\npcres\enemy\enemy084															
enemy085	普通npc	spr\npcres\enemy\enemy085															
enemy086	普通npc	spr\npcres\enemy\enemy086															
enemy087	普通npc	spr\npcres\enemy\enemy087															
enemy088	普通npc	spr\npcres\enemy\enemy088															
enemy089	普通npc	spr\npcres\enemy\enemy089															
enemy090	普通npc	spr\npcres\enemy\enemy090															
enemy091	普通npc	spr\npcres\enemy\enemy091															
enemy092	普通npc	spr\npcres\enemy\enemy092															
enemy093	普通npc	spr\npcres\enemy\enemy093															
enemy094	普通npc	spr\npcres\enemy\enemy094															
enemy095	普通npc	spr\npcres\enemy\enemy095															
enemy096	普通npc	spr\npcres\enemy\enemy096															
enemy097	普通npc	spr\npcres\enemy\enemy097															
enemy098	普通npc	spr\npcres\enemy\enemy098															
enemy099	普通npc	spr\npcres\enemy\enemy099															
enemy100	普通npc	spr\npcres\enemy\enemy100															
enemy101	普通npc	spr\npcres\enemy\enemy101															
enemy102	普通npc	spr\npcres\enemy\enemy102															
enemy103	普通npc	spr\npcres\enemy\enemy103															
enemy104	普通npc	spr\npcres\enemy\enemy104															
enemy105	普通npc	spr\npcres\enemy\enemy105															
enemy106	普通npc	spr\npcres\enemy\enemy106															
enemy107	普通npc	spr\npcres\enemy\enemy107															
enemy108	普通npc	spr\npcres\enemy\enemy108															
enemy109	普通npc	spr\npcres\enemy\enemy109															
enemy110	普通npc	spr\npcres\enemy\enemy110															
enemy111	普通npc	spr\npcres\enemy\enemy111															
enemy112	普通npc	spr\npcres\enemy\enemy112															
enemy115	普通npc	spr\npcres\enemy\enemy115															
enemy121	普通npc	spr\npcres\enemy\enemy121															
enemy122	普通npc	spr\npcres\enemy\enemy122															
enemy123	普通npc	spr\npcres\enemy\enemy123															
enemy124	普通npc	spr\npcres\enemy\enemy124															
enemy125	普通npc	spr\npcres\enemy\enemy125															
enemy126	普通npc	spr\npcres\enemy\enemy126															
enemy127	普通npc	spr\npcres\enemy\enemy127															
enemy128	普通npc	spr\npcres\enemy\enemy128															
enemy129	普通npc	spr\npcres\enemy\enemy129															
enemy130	普通npc	spr\npcres\enemy\enemy130															
enemy131	普通npc	spr\npcres\enemy\enemy131															
enemy132	普通npc	spr\npcres\enemy\enemy132															
enemy133	普通npc	spr\npcres\enemy\enemy133															
enemy134	普通npc	spr\npcres\enemy\enemy134															
