武器类别	战斗站立	普通站立1	普通站立2	战斗行走	普通行走	战斗跑步	普通跑步	受伤	死亡	攻击1	攻击2	魔法	打坐	跳跃
enemy003	enemy003_st.spr	enemy003_st.spr	enemy003_pst.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_bat.spr	enemy003_die.spr	enemy003_at.spr	enemy003_at.spr	enemy003_at.spr	enemy003_st.spr	enemy003_wlk.spr
enemy004	enemy004_st.spr	enemy004_st.spr	enemy004_pst.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_bat.spr	enemy004_die.spr	enemy004_at.spr	enemy004_at.spr	enemy004_at.spr	enemy004_st.spr	enemy004_wlk.spr
enemy005	enemy005_st.spr	enemy005_st.spr	enemy005_pst.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_bat.spr	enemy005_die.spr	enemy005_at.spr	enemy005_at.spr	enemy005_at.spr	enemy005_st.spr	enemy005_wlk.spr
enemy006	enemy006_st.spr	enemy006_st.spr	enemy006_pst.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_bat.spr	enemy006_die.spr	enemy006_at.spr	enemy006_at.spr	enemy006_at.spr	enemy006_st.spr	enemy006_wlk.spr
enemy007	enemy007_st.spr	enemy007_st.spr	enemy007_pst.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_bat.spr	enemy007_die.spr	enemy007_at.spr	enemy007_at.spr	enemy007_at.spr	enemy007_st.spr	enemy007_wlk.spr
enemy015	enemy015_st.spr	enemy015_st.spr	enemy015_pst.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_bat.spr	enemy015_die.spr	enemy015_at.spr	enemy015_at.spr	enemy015_at.spr	enemy015_st.spr	enemy015_wlk.spr
enemy016	enemy016_st.spr	enemy016_st.spr	enemy016_pst.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_bat.spr	enemy016_die.spr	enemy016_at.spr	enemy016_at.spr	enemy016_at.spr	enemy016_st.spr	enemy016_wlk.spr
enemy017	enemy017_st.spr	enemy017_st.spr	enemy017_pst.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_bat.spr	enemy017_die.spr	enemy017_at.spr	enemy017_at.spr	enemy017_at.spr	enemy017_st.spr	enemy017_wlk.spr
enemy021	enemy021_st.spr	enemy021_st.spr	enemy021_pst.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_bat.spr	enemy021_die.spr	enemy021_at.spr	enemy021_at.spr	enemy021_at.spr	enemy021_st.spr	enemy021_wlk.spr
enemy022	enemy022_st.spr	enemy022_st.spr	enemy022_pst.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_bat.spr	enemy022_die.spr	enemy022_at.spr	enemy022_at.spr	enemy022_at.spr	enemy022_st.spr	enemy022_wlk.spr
