SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LevelUpScript	SkillDesc	IsMagic	Series	IsSkillPhysical	IsSkillMagic	TimePerCastHorse		SkillMiniIcon
C«ng kÝch vËt lý	Íâ¹¦Ïµ¹¥»÷	1	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	90	0	0	0	0	2	64	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p		attackrating_p		skill_cost_v																	C«ng kÝch vËt lý cËn chiÕn	0		1	0	0		
C«ng kÝch vËt lý xa	Íâ¹¦Ïµ¹¥»÷	2	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_at.spr				0	0	0	0	320	0	0	0	0	2	65	1	1	1	9	0	1	5	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	\script\skill\tangmen.lua	physicsenhance_p		attackrating_p		skill_cost_v																	C«ng kÝch vËt lý tÇm xa	0		1	0	0		
Kh«ng cÇn tªn	±»¶¯¹¥»÷¸¨Öú	3	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\½£·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																	?¡§??????????¡§¡è?????????????	0		0	0	0		
ThiÕu L©m C«n Ph¸p	±»¶¯¹¥»÷¸¨Öú	4	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_gf.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_gunfa	attackratingenhance_p	shaolin_gunfa	deadlystrikeenhance_p	shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		T¨ng hiÖu qu¶ sö dông c«n	0		0	0	0		
Kh«ng cÇn tªn 1	±»¶¯¹¥»÷¸¨Öú	5	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\Ç¹·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																	?¡§??????????¡§¡è?????????????	0		0	0	0		
ThiÕu L©m §ao Ph¸p	±»¶¯¹¥»÷¸¨Öú	6	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_df.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_daofa	deadlystrikeenhance_p	shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		T¨ng hiÖu qu¶ sö dông ®¶o	0		0	0	0		
Kh«ng cÇn tªn 2	±»¶¯¹¥»÷¸¨Öú	7	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\½£·¨.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																	?¡§??????????¡§¡è?????????????	0		0	0	0		
ThiÕu L©m QuyÒn Ph¸p	±»¶¯¹¥»÷¸¨Öú	8	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_qf.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	0	0	0		0					1	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_quanfa	attackratingenhance_p	shaolin_quanfa	deadlystrikeenhance_p	shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		T¨ng hiÖu qu¶ c«ng kÝch tay kh«ng	0		0	0	0		
Kh«ng cÇn tªn 3	±»¶¯ÊôÐÔ¼ÓÇ¿	9	41	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_01.spr				0	0	3	0	0	0	0	0	1	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	\script\skill\shaolin.lua	staminamax_p																					??????????????????????????????????	0		0	0	0		
Kim Cang Phôc Ma	Íâ¹¦Ïµ¹¥»÷	10	1	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_02.spr		\sound\skill\sound_k001.wav	0	0	0	0	1	90	5	1	5	1	8	216	0	1	0	9	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	20	-2	1	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	jingang_fumo	missle_speed_v	jingang_fumo	missle_lifetime_v	jingang_fumo	skill_attackradius	jingang_fumo	seriesdame	jingang_fumo	skill_cost_v	jingang_fumo	addskilldame1	jingang_fumo	addskilldame2	jingang_fumo	addskilldame3	jingang_fumo	addskilldame4	jingang_fumo		"Vâ c«ng nhËp m«n, tÊn c«ng ng­êi ®¬n lÎ"	0		1	0	0		
