Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
D©y chuyÒn §ång	0	4	0	\spr\item\equip\nick\obj_neck01.spr	36	2	1	"D©y chuyÒn ®ång, dïng ®Ó g¹t trÎ con. "		150	1	0																						36	1	38	1									0																					
Ng©n H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj_neck02.spr	36	2	1	"D©y chuyÒn B¹c, nh­ng ®èi víi ng­êi nghÌo th× còng ®¸ng lµ hµng quý phÈm"		600	2	0																						36	7	38	1									0																					
Kim H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj_neck03.spr	36	2	1	"D©y chuyÒn vµng, c¸c v­¬ng t«n quý tö th­êng ®eo."		1350	3	0																						36	14	38	1									0																					
B¹ch Kim H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj_neck04.spr	36	2	1	"D©y chuyÒn b¹ch kim, rÊt hiÕm t×m ®­îc trong c¸c thµnh thÞ."		2400	4	0																						36	20	38	1									0																					
Ngäc Ch©u H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj_neck05.spr	36	2	1	"§­îc x©u tõ nh÷ng h¹t ngäc th¹ch, ngh×n vµng còng khã mua."		3750	5	0																						36	27	38	1									0																					
Lôc Tïng Th¹ch H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj_neck06.spr	36	2	1	"X©u tõ Lôc Tïng Th¹ch quý hiÕm, ®eo vµo cã thÓ tÜnh t©m ®Þnh thÇn."		5400	6	0																						36	34	38	1									0																					
Thñy Tinh H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj-neck07.spr	36	2	1	"B¶o vËt quý hiÕm, ngh×n vµng khã mua"		7350	7	0																						36	40	38	1									0																					
Khæng T­íc Th¹ch H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj-neck08.spr	36	2	1	"X©u tõ Khæng T­íc Th¹ch, ¸nh s¸ng huyÒn ¶o, cùc kú sang träng."		9600	8	0																						36	47	38	1									0																					
Tr©n Ch©u H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	"X©u tõ nh÷ng viªn §¹i tr©n ch©u, ngh×n vµng khã mua."		12150	9	0																						36	54	38	1									0																					
Toµn Th¹ch H¹ng Liªm	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	"X©u tõ nh÷ng viªn Toµn th¹ch, nghe nãi còng ®­îc mang tõ h¶i ngo¹i vÒ."		15000	10	0																						36	60	38	1									0																					
