Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
ThiÕt Trñy thñ	0	0	0	\spr\item\equip\closeweapon\obj-sword01.spr	9	1	3	"Lo¹i kiÕm nhá b»ng s¾t, kh¶ n¨ng s¸t th­¬ng kÐm. "		33	1	0	28	4	4	29	7	7	167	0	0	31	40	40										36	0	32	20									0																					
Cang KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword02.spr	9	1	3	Lo¹i kiÕm ®­îc tinh luyÖn tõ thÐp. 		400	2	0	28	8	8	29	15	15	167	0	0	31	56	56										36	9	32	20									0																					
Thanh Phong KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword03.spr	9	1	3	"Lo¹i kiÕm máng, tinh luyÖn, s¾c nhän. "		900	3	0	28	12	12	29	23	23	167	0	0	31	72	72										36	18	32	30									0																					
Long TuyÒn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword04.spr	9	1	3	"Lo¹i danh kiÕm thêi §­êng, truyÒn thuyÕt kÓ lo¹i kiÕm nµy cã Long KhÝ rÊt m¹nh. "		1600	4	0	28	16	16	29	31	31	167	0	0	31	88	88										36	27	32	40									0																					
Tr·m M· KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword05.spr	9	1	3	"KiÕm cæ thêi §­êng, th©n dµi vµ s¾c, chÐm ngùa còng ®¬n gi¶n nh­ chÆt tay. "		2500	5	0	28	21	21	29	39	39	167	0	0	31	104	104										36	36	32	50									0																					
¤ Kim KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword06.spr	9	1	3	"chÕ t¹o tõ lo¹i ¤ Kim quý hiÕm, cã thÓ chÐm ®ång chÆt s¾t. "		3600	6	0	28	25	25	29	46	46	167	0	0	31	120	120										36	45	32	60									0																					
XØ KhiÕp	0	0	0	\spr\item\equip\closeweapon\obj-sword23.spr	9	1	3	"lo¹i kiÕm cã h×nh r¨ng c­a, th©n dµi rÊt khã huy ®éng. "		5000	7	0	28	29	29	29	54	54	167	0	0	31	136	136										36	54	32	70									0																					
ThÊt XÝch KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword21.spr	9	1	3	"Th©n kiÕm siªu dµi, méc nh©ny yÕu kh«ng thÓ sö dông. "		6666	8	0	28	33	33	29	62	62	167	0	0	31	152	152										36	63	32	80									0																					
Thiªn NhËn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	"Lo¹i danh kiÕm cæ, ®øng xa tr¨m dÆm cã thÓ nghe ®­îc tiÕng thanh g­¬m kªu. "		8333	9	0	28	37	37	29	70	70	167	0	0	31	168	168										36	72	32	90									0																					
HuyÒn ThiÕt KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	"Lo¹i kiÕm ®­îc chÕ tõ lo¹i huyÒn thiÕt v¹n n¨m, nhän vµ dµi, thÝch hîp chiÕn ®Êu. "		10000	10	0	28	42	42	29	78	78	167	0	0	31	180	180										36	81	32	100									0																					
Yªu §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade01.spr	10	1	2	"Lo¹i ®ao nhá th«ng th­êng, c¸c hiÖp kh¸ch rÊt thÝch trang bÞ. "		33	1	0	28	3	3	29	11	11	167	-20	-20	31	44	44										36	0	32	20									0																					
§¬n §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade03.spr	10	1	2	"Lo¹i vò khÝ mµ c¸c L­¬ng S¬n H¶o h¸n th­êng thÝch trang bÞ, rÊt dÔ mua. "		400	2	0	28	7	7	29	21	21	167	-20	-20	31	66	66										36	9	32	30									0																					
Quû §Çu §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade12.spr	10	1	3	"S¸t thñ rÊt thÝch dïng, mÒm dÎo s¾c nhän. "		900	3	0	28	10	10	29	30	30	167	-20	-20	31	88	88										36	18	32	40									0																					
Nh¹n Linh §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade12.spr	10	1	3	"Tinh luyÖn tõ thÐp l¹nh, khÝ l¹nh kinh ng­êi. "		1600	4	0	28	14	14	29	42	42	167	-20	-20	31	110	110										36	27	32	50									0																					
NguyÖt Nha §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade13.spr	10	1	3	Lo¹i kiÕm cã tinh luyÖn tõ nhiÒu lo¹i ®éc d­îc. 		2500	5	0	28	18	18	29	51	51	167	-20	-20	31	132	132										36	36	32	60									0																					
Ph¸ Phong §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade14.spr	10	1	3	"Lo¹i ®ao khi vung lªn ph¸t ra tiÕng kªu rÊt ®¸ng sî, s¾c nhän v« ®Þch. "		3600	6	0	28	21	21	29	63	63	167	-20	-20	31	154	154										36	45	32	70									0																					
Cæn Ch©u B¶o ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade21.spr	10	1	4	"Mét lo¹i ®ao lµm nªn nhiÒu truyÒn thuyÕt, s¾c ®Õn møc ®Æt sîi tãc lªn còng ®øt. "		5000	7	0	28	25	25	29	72	72	167	-20	-20	31	176	176										36	54	32	80									0																					
YÓn NguyÖt §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade22.spr	10	1	4	"§¹i ®ao võa dµy võa nÆng, Ng­êi mang nã rÊt cã uy phong. "		6666	8	0	28	28	28	29	84	84	167	-20	-20	31	198	198										36	63	32	90									0																					
Thanh Long §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade23.spr	10	1	4	"Thanh ®ao mµ Quan V©n Tr­êng ®· tõng sö dông, b¶o vËt hiÕm thÊy. "		8333	9	0	28	32	32	29	93	93	167	-20	-20	31	220	220										36	72	32	100									0																					
§¹i Phong §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	"S¾c nhän khã b×, chÐm s¾t ®¸ còng gièng nh­ chÐm vµo bïn. "		10000	10	0	28	36	36	29	105	105	167	-20	-20	31	240	240										36	81	32	110									0																					
Thiªu Háa C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff01.spr	11	2	3	Lo¹i c«n hai ®Çu bÞt thÐp mµ hÇu nh­ c¸c m«n ph¸i ®Òu sö dông. 		33	1	0	28	6	6	29	11	11	167	-10	-10	31	56	56										36	0	32	30									0																					
TÒ Mi C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff02.spr	11	2	3	"Lo¹i c«n lµm tõ s¸p mËt ong, mÒm dÎo v« ®Þch. "		500	2	0	28	12	12	29	23	23	167	-10	-10	31	82	82										36	9	32	45									0																					
Bµn Hoa C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff02.spr	11	2	3	Lo¹i c«n cã ch¹m kh¾c phï ®iªu rÊt ®Ñp.		1000	3	0	28	18	18	29	35	35	167	-10	-10	31	106	106										36	18	32	60									0																					
Hæ VÜ C«n 	0	0	2	\spr\item\equip\closeweapon\obj-staff03.spr	11	2	3	"Lo¹i c«n lµm tõ thÐp, dµi t¸m th­íc, cã ch¹m phï ®iªu. "		1666	4	0	28	25	25	29	46	46	167	-10	-10	31	130	130										36	27	32	75									0																					
Tiªu Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff04.spr	11	2	3	Lo¹i c«n th­êng nh­ng cã trang bÞ thªm phong tiªu. 		2500	5	0	28	31	31	29	58	58	167	-10	-10	31	154	154										36	36	32	90									0																					
Can Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff11.spr	11	1	4	"Lo¹i c«n bæng chÕ tõ s¸p ong, cùc kú mÒm dÎo. "		3333	6	0	28	37	37	29	70	70	167	-10	-10	31	178	178										36	45	32	105									0																					
Lang Nha Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff12.spr	11	1	4	"Lo¹i binh khÝ ng­êi Kim rÊt thÝch sö dông, ng­êi dïng cÇn ph¶i cã søc lùc. "		5000	7	0	28	44	44	29	81	81	167	-10	-10	31	222	222										36	54	32	120									0																					
