µÈ¼¶	chuyensinh0	chuyensinh1	chuyensinh2	chuyensinh3	chuyensinh4	chuyensinh5
1	4	100	100	48	96	96
2	23	500	500	240	480	480
3	52	1100	1100	528	1056	1056
4	90	1900	1900	912	1824	1824
5	138	2900	2900	1392	2784	2784
6	195	4100	4100	1968	3936	3936
7	261	5500	5500	2640	5280	5280
8	338	7100	7100	3408	6816	6816
9	423	8900	8900	4272	8544	8544
10	519	10900	10900	5232	10464	10464
11	623	13100	13100	6288	12576	12576
12	747	15700	15700	7536	15072	15072
13	890	18700	18700	8976	17952	17952
14	1052	22100	22100	10608	21216	21216
15	1233	25900	25900	12432	24864	24864
16	1433	30100	30100	14448	28896	28896
17	1652	34700	34700	16656	33312	33312
18	1890	39700	39700	19056	38112	38112
19	2147	45100	45100	21648	43296	43296
20	2423	50900	50900	24432	48864	48864
21	2719	57100	57100	27408	54816	54816
22	3042	63900	63900	30672	61344	61344
23	3395	71300	71300	34224	68448	68448
24	3776	79300	79300	38064	76128	76128
25	4185	87900	87900	42192	84384	84384
26	4623	97100	97100	46608	93216	93216
27	5090	106900	106900	51312	102624	102624
28	5585	117300	117300	56304	112608	112608
29	6109	128300	128300	61584	123168	123168
30	6661	139900	139900	67152	134304	134304
31	7242	152100	152100	73008	146016	146016
32	7876	165400	165400	79392	158784	158784
33	8561	179800	179800	86304	172608	172608
34	9300	195300	195300	93744	187488	187488
35	10090	211900	211900	101712	203424	203424
36	10933	229600	229600	110208	220416	220416
37	11828	248400	248400	119232	238464	238464
38	12776	268300	268300	128784	257568	257568
39	13776	289300	289300	138864	277728	277728
40	44485	311400	311400	149472	298944	298944
41	47800	334600	334600	160608	321216	321216
42	51485	360400	360400	172992	345984	345984
43	55542	388800	388800	186624	373248	373248
44	59971	419800	419800	201504	403008	403008
45	64771	453400	453400	217632	435264	435264
46	69942	489600	489600	235008	470016	470016
47	75485	528400	528400	253632	507264	507264
48	81400	569800	569800	273504	547008	547008
49	87685	613800	613800	294624	589248	589248
50	94342	660400	660400	316992	633984	633984
51	101371	709600	709600	340608	681216	681216
52	109428	766000	766000	367680	735360	735360
53	118514	829600	829600	398208	796416	796416
54	128628	900400	900400	432192	864384	864384
55	139771	978400	978400	469632	939264	939264
56	151942	1063600	1063600	510528	1021056	1021056
57	165142	1156000	1156000	554880	1109760	1109760
58	179371	1255600	1255600	602688	1205376	1205376
59	194628	1362400	1362400	653952	1307904	1307904
60	210914	1476400	1476400	708672	1417344	1417344
61	228228	1597600	1597600	766848	1533696	1533696
62	248314	1738200	1738200	834336	1668672	1668672
63	271171	1898200	1898200	902496	1804992	1804992
64	296800	2077600	2077600	997248	1994496	1994496
65	325200	2276400	2276400	1092672	2185344	2185344
66	356371	2494600	2494600	1197408	2394816	2394816
67	390314	2732200	2732200	1311456	2622912	2622912
68	427028	2989200	2989200	1434816	2869632	2869632
69	466514	3265600	3265600	1567488	3134976	3134976
70	508771	3561400	3561400	1709472	3418944	3418944
71	553800	3876600	3876600	1860768	3721536	3721536
72	605742	4240200	4240200	2035296	4070592	4070592
73	664600	4652200	4652200	2233056	4466112	4466112
74	730371	5112600	5112600	2454048	4908096	4908096
75	803057	5621400	5621400	2698272	5396544	5396544
76	882657	6178600	6178600	2965728	5931456	5931456
77	969171	6784200	6784200	3256416	6512832	6512832
78	1062600	7438200	7438200	3570336	7140672	7140672
79	1162942	8140600	8140600	3907488	7814976	7814976
80	8891400	8891400	8891400	4267872	8535744	8535744
81	9690600	9690600	9690600	4651488	9302976	9302976
82	10600800	10600800	10600800	5088384	10176768	10176768
83	11622000	11622000	11622000	5578560	11157120	11157120
84	12754200	12754200	12754200	6122016	12244032	12244032
85	13997400	13997400	13997400	6718752	13437504	13437504
86	15351600	15351600	15351600	7368768	14737536	14737536
87	16816800	16816800	16816800	8072064	16144128	16144128
88	18393000	18393000	18393000	8828640	17657280	17657280
89	20080200	20080200	20080200	9638496	19276992	19276992
