状态	文件名	类型	播放方式	主角身后开始帧	主角身后结束帧	动画总帧数	动画总方向数	动画帧间隔		
状态1	style1.spr	头顶	循环			8	1	1		
状态2	style2.spr	脚底	循环			8	1	1		
状态3	style3.spr	身上	循环	10	20	8	1	1		
状态4	style3.spr	身上	循环	10	20	8	1	1		
状态5	style3.spr	身上	循环	10	20	8	1	1		
状态6	style3.spr	脚底	循环	10	20	8	1	1		
状态7	style3.spr	身上	循环	10	20	8	1	1		
状态8	style3.spr	头顶	循环	10	20	8	1	1		
状态9	style3.spr	头顶	循环	10	20	8	1	1		
状态10	style3.spr	头顶	循环	10	20	8	1	1		
状态11	style3.spr	头顶	循环	10	20	8	1	1		
状态12	style3.spr	头顶	循环	10	20	8	1	1		
状态13	style3.spr	身上	循环	10	20	8	1	1		
状态14	style3.spr	身上	循环	10	20	8	1	1		
状态15	style3.spr	身上	循环	10	20	8	1	1		
状态16	style3.spr	身上	循环	10	20	8	1	1		
状态17	style3.spr	身上	循环	10	20	8	1	1		
状态18	style3.spr	身上	循环	10	20	8	1	1		
状态19	style3.spr	头顶	循环	10	20	8	1	1		
状态20	style3.spr	脚底	循环	10	20	8	1	1		
状态21	style3.spr	身上	循环	10	20	8	1	1		
状态22	style3.spr	头顶	循环	10	20	8	1	1		
状态23	style3.spr	头顶	循环	10	20	8	1	1		
状态24	style3.spr	头顶	循环	10	20	8	1	1		
状态25	style3.spr	头顶	循环	10	20	8	1	1		
状态26	style3.spr	头顶	循环	10	20	8	1	1		
状态27	style3.spr	头顶	循环	10	20	8	1	1		
状态28	style3.spr	头顶	循环	10	20	8	1	1		
状态29	style3.spr	脚底	循环	10	20	8	1	1		
状态30	style3.spr	头顶	循环	10	20	8	1	1		
状态31	style3.spr	身上	循环	10	20	8	1	1		
状态32	style3.spr	身上	循环	10	20	8	1	1		
状态33	style3.spr	身上	循环	10	20	8	1	1		
状态34	style3.spr	头顶	循环	10	20	8	1	1		
状态35	style3.spr	头顶	循环	10	20	8	1	1		
状态36	style3.spr	头顶	循环	10	20	8	1	1		
状态37	style3.spr	脚底	循环	10	20	8	1	1		
状态38	style3.spr	脚底	循环	10	20	8	1	1		
状态39	style3.spr	脚底	循环	10	20	8	1	1		
状态40	style3.spr	脚底	循环	10	20	8	1	1		
状态41	style3.spr	脚底	循环	10	20	8	1	1		
状态42	style3.spr	头顶	循环	10	20	8	1	1		
状态43	style3.spr	身上	循环	10	20	8	1	1		
状态44	style3.spr	脚底	循环	10	20	8	1	1		
状态45	style3.spr	脚底	循环	10	20	8	1	1		
状态46	style3.spr	头顶	循环	10	20	8	1	1		
状态47	style3.spr	身上	循环	10	20	8	1	1		
状态48	style3.spr	身上	循环	10	20	8	1	1		
状态49	style3.spr	身上	循环	10	20	8	1	1		
状态50	style3.spr	头顶	循环	10	20	8	1	1		
状态51	style3.spr	脚底	循环	10	20	8	1	1		
状态52	style3.spr	身上	循环	10	20	8	1	1		
状态53	style3.spr	头顶	循环	10	20	8	1	1		
状态54	style3.spr	头顶	循环	10	20	8	1	1		
状态55	style3.spr	身上	循环	10	20	8	1	1		
状态56	style3.spr	脚底	循环	10	20	8	1	1		
状态57	style3.spr	身上	循环	10	20	8	1	1		
状态58	style3.spr	身上	循环	10	20	8	1	1		
状态59	style3.spr	脚底	循环	10	20	8	1	1		
状态60	style3.spr	身上	循环	10	20	8	1	1		
状态61	style3.spr	身上	循环	10	20	8	1	1		
状态62	style3.spr	身上	循环	10	20	8	1	1		
状态63	style3.spr	头顶	循环	10	20	8	1	1		
状态64	style3.spr	头顶	循环	10	20	8	1	1		
状态65	style3.spr	头顶	循环	10	20	8	1	1		
状态66	style3.spr	头顶	循环	10	20	8	1	1		
状态67	style3.spr	头顶	循环	10	20	8	1	1		
状态68	style3.spr	身上	循环	10	20	8	1	1		
状态69	style3.spr	头顶	循环	10	20	8	1	1		
状态70	style3.spr	头顶	循环	10	20	8	1	1		
状态71	style3.spr	脚底	循环	10	20	8	1	1		
状态72	style3.spr	脚底	循环	10	20	8	1	1		
状态73	style3.spr	头顶	循环	10	20	8	1	1		
状态74	style3.spr	头顶	循环	10	20	8	1	1		
状态75	style3.spr	头顶	循环	10	20	8	1	1		
状态76	style3.spr	头顶	循环	10	20	8	1	1		
状态77	style3.spr	小地图	循环	10	20	8	1	1		
状态78	style3.spr	脚底	循环	10	20	8	1	1		
状态79	style3.spr	身上	循环	10	20	8	1	1		
状态80	style3.spr	脚底	循环	10	20	8	1	1		
状态81	style3.spr	脚底	循环	10	20	8	1	1		
状态82	style3.spr	脚底	循环	10	20	8	1	1		
状态83	style3.spr	脚底	循环	10	20	8	1	1		
状态84	style3.spr	脚底	循环	10	20	8	1	1		
状态85	style3.spr	脚底	循环	10	20	8	1	1		
状态86	style3.spr	头顶	循环	10	20	8	1	1		
状态87	style3.spr	头顶	循环	10	20	8	1	1		
状态88	style3.spr	头顶	循环	10	20	8	1	1		
状态89	style3.spr	头顶	循环	10	20	8	1	1		
状态90	style3.spr	头顶	循环	10	20	8	1	1		
状态91	style3.spr	头顶	循环	10	20	8	1	1		
状态92	style3.spr	脚底	循环	10	20	8	1	1		
状态93	style3.spr	脚底	循环	10	20	8	1	1		
状态94	style3.spr	脚底	循环	10	20	8	1	1		
状态95	style3.spr	脚底	循环	10	20	8	1	1		
状态96	style3.spr	脚底	循环	10	20	8	1	1		
状态97	style3.spr	身上	循环	10	20	8	1	1		
状态98	style3.spr	头顶	循环	10	20	8	1	1		
状态99	style3.spr	身上	循环	10	20	8	1	1		
状态100	style3.spr	脚底	循环	10	20	8	1	1		
状态101	style3.spr	脚底	循环	10	20	8	1	1		
状态102	style3.spr	脚底	循环	10	20	8	1	1		
状态103	style3.spr	脚底	循环	10	20	8	1	1		
状态104	style3.spr	脚底	循环	10	20	8	1	1		
状态105	style3.spr	头顶	循环	10	20	8	1	1		
状态106	style3.spr	头顶	循环	10	20	8	1	1		
状态107	style3.spr	脚底	循环	10	20	8	1	1		
状态108	style3.spr	脚底	循环	10	20	8	1	1		
状态109	style3.spr	头顶	循环	10	20	8	1	1		
状态110	style3.spr	身上	循环	10	20	8	1	1		
状态111	style3.spr	身上	循环	10	20	8	1	1		
状态112	style3.spr	身上	循环	10	20	8	1	1		
状态113	style3.spr	脚底	循环	10	20	8	1	1		
状态114	style3.spr	身上	循环	10	20	8	1	1		
状态115	style3.spr	脚底	循环	10	20	8	1	1		
状态116	style3.spr	脚底	循环	10	20	8	1	1		
状态117	style3.spr	脚底	循环	10	20	8	1	1		
状态118	style3.spr	身上	循环	10	20	8	1	1		
状态119	style3.spr	脚底	循环	10	20	8	1	1		
状态120	style3.spr	头顶	循环	10	20	8	1	1		
状态121	style3.spr	身上	循环	10	20	8	1	1		
状态122	style3.spr	身上	循环	10	20	8	1	1		
状态123	style3.spr	身上	循环	10	20	8	1	1		
状态124	style3.spr	脚底	循环	10	20	8	1	1		
状态125	style3.spr	头顶	循环	10	20	8	1	1		
状态126	style3.spr	头顶	循环	10	20	8	1	1		
状态127	style3.spr	头顶	循环	10	20	8	1	1		
状态128	style3.spr	头顶	循环	10	20	8	1	1		
状态129	style3.spr	脚底	循环	10	20	8	1	1		
状态130	style3.spr	脚底	循环	10	20	8	1	1		
状态131	style3.spr	脚底	循环	10	20	8	1	1		
状态132	style3.spr	身上	循环	10	20	8	1	1		
状态133	style3.spr	头顶	循环	10	20	8	1	1		
状态134	style3.spr	脚底	循环	10	20	8	1	1		
状态135	style3.spr	脚底	循环	10	20	8	1	1		
状态136	style3.spr	脚底	循环	10	20	8	1	1		
状态137	style3.spr	脚底	循环	10	20	8	1	1		
状态138	style3.spr	脚底	循环	10	20	8	1	1		
状态139	style3.spr	脚底	循环	10	20	8	1	1		
状态140	style3.spr	脚底	循环	10	20	8	1	1		
状态141	style3.spr	脚底	循环	10	20	8	1	1		
状态142	style3.spr	身上	循环	10	20	8	1	1		
状态143	style3.spr	头顶	循环	10	20	8	1	1		
状态144	style3.spr	身上	循环	10	20	8	1	1		
