Name	PhysicalDamageBase	PhysicalMagic	PoisonDamageBase	PoisonMagic	ColdDamageBase	ColdMagic	FireDamageBase	FireMagic	LightingDamageBase	LightingMagic	AuraSkillName	AuraSkillLevel	PasstSkillName	PasstSkillLevel
Truong Tong Chinh	0|0	0	0|0	1	0|0	1	0|0	1	0|1000	1	      	0|30	        	0|60
Huyen Khong	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Dieu nhu	0|535	0	0|0	1	0|3100	1	0|0	1	0|0	1	    	0|20	        	0|60
Ly Nguyen Khanh	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Banh Lien An	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Tao Minh	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Tao Chan	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Tao Sang	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Tao Khiem	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Tao Luc	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Thi Thanh	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Duong Phong	2|40	0	7|-400	1	7|-200	1	20|-900	1	20|-700	1	      	1|-40	      	1|-40
Lieu Thanh Thanh	0|330	2	0|30	1	0|0	1	0|0	1	0|0	1	      	0|30	        	0|60
Dau Thach Xa	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Cong Thanh Xung Xa	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Cong Thanh Chien Hoan Chinh Thanh Mon	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Cong Thanh Chien Pha Ton Thanh Mon	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Loi Co Si Binh	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0	            	0|1	            	0|1
Dao Ky Si Binh	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0	                	0|20	            	0|1
Cong Thanh Cong Phuong Hoan Chinh Long Tru	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Cong Thanh Cong Phuong Pha Ton Long Tru	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Cong Thanh Thu Phuong Hoan Chinh Long Tru	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Cong Thanh Thu Phuong Pha Ton Long Tru	0|0	0	0|0	0	0|0	0	0|0	0	0|0	0		0|0	            	0|1
Dao Thanh Chan Nhan	0|590	0	0|0	0	0|0	0	0|0	0	0|3100	1	      	0|20	        	0|60
Diep Tiep Vi	0|1881	0	0|0	0	0|0	0	0|1000	1	0|0	0	      	0|20	        	0|60
Hoan Nhan Tuyet Y	0|330	0	0|0	0	0|0	0	0|3300	2	0|0	0	      	0|20	        	0|60
Doan Moc Due	0|1441	0	0|0	0	0|0	0	0|3500	1	0|0	0	      	0|20	        	0|60
Co Bach	0|451	0	0|0	0	0|0	0	0|0	0	0|0	0	      	0|20	        	0|60
Chung Linh Tu	0|865	0	0|0	0	0|4900	1	0|0	0	0|0	0	    	0|20	        	0|60
Ha Linh Phieu	0|641	0	0|0	0	0|3700	1	0|0	0	0|0	0	    	0|20	        	0|60
lanyiyi	0|500	0	0|550	1	0|0	0	0|0	0	0|0	0	    	0|20	        	0|60
mengcanglang	0|743	0	0|0	0	0|0	0	0|3700	1	0|0	0	    	0|20	        	0|60
