????	???????¨¤	?????¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	?¨º???¨¤¡À?	Level	
Vâ L©m MËt TŞch	4	0	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Bİ kİp tu luyÖn, gia t¨ng<color=yellow> 1 ®iÓm kü n¨ng <color> khi  sö dông, tèi ®a <color=red> 10 cuèn"	0	1	
TÈy Tuû Kinh	4	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"PhËt gia b¶o ®iÓn, gia t¨ng<color=yellow> 5 ®iÓm tiÒm n¨ng <color> khi sö dông, tèi ®a <color=red> 5 cuèn."	0	1	
ThiÕt La H¸n	4	2	\spr\item\questkey\obj_item_lection.spr	341	1	1	PhËt m«n bİ kİp. Khi sö dông nh©n ®­îc 1 - 10% kinh nghiÖm cho b¶n th©n	1	1	
Thæ §Şa Phï	4	3	\spr\item\special\Obj_TownPortal.spr	38	1	1	Gióp c¸c b¹n trë vÒ thµnh nhanh chèng <enter>NhÊp chuét ph¶I ®Ó sö dông	0	1	
MËt TŞch ThiÕu L©m	4	4	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i ThiÕu L©m	0	1	
MËt TŞch Thiªn V­¬ng	4	5	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i Thiªn V­¬ng	0	1	
MËt Tİch §­êng M«n	4	6	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i §­êng M«n	0	1	
MËt TŞch Ngò §éc	4	7	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i Ngò §éc	0	1	
MËt TŞch Nga Mi	4	8	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i Nga Mi	0	1	
MËt TŞch Thóy Yªn	4	9	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i Thóy Yªn	0	1	
MËt TŞch Thiªn NhÉn	4	10	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i Thiªn NhÉn	0	1	
MËt TŞch C¸i Bang	4	11	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i C¸i Bang	0	1	
MËt TŞch Vâ §ang	4	12	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i Vâ §ang	0	1	
MËt TŞch C«n L«n	4	13	\spr\item\questkey\obj_item_lection.spr	333	1	1	Nh¾p chuét ph¶i ®Ó sö dông <enter>Häc ®­îc tuyÖt kü 9x m«n ph¸i C«n L«n	0	1	
S­ §å LÖnh	4	14	\spr\item\questkey\taskobj126.spr	336	1	1	Dïng ®Ó nhËn 1 <color=red>®Ö tö <color>	0	1	
S­ ®å thiÕp	4	15	\spr\item\special\Obj_TownPortal.spr	38	1	1	Sö dông trong <color=red>Chøc n¨ng s­ ®å <color>	0	1	
ThÇn Bİ §¹i Hång Bao	4	16	\spr\thanh\vuotai.spr	41	1	1	VËt phÈm quı hiÖm. Mì ra cã c¬ héi nh©n ®­îc trang bŞ hoµng kim	1	1	
