????	???????¨¤	?????¨¤¡À?	?¨º???¨¤¡À?	??????????	?????????¡Â??	?¨ª??	????	???¡Â??¡Á?	????????	????	????	??¡¤???¡¤?	?¨´??????1?¨¤??	?¨´??????1¡Á?????	?¨´??????1¡Á??¨®??	?¨´??????2?¨¤??	?¨´??????2¡Á?????	?¨´??????2¡Á??¨®??	?¨´??????3?¨¤??	?¨´??????3¡Á?????	?¨´??????3¡Á??¨®??	?¨´??????4?¨¤??	?¨´??????4¡Á?????	?¨´??????4¡Á??¨®??	?¨´??????5?¨¤??	?¨´??????5¡Á?????	?¨´??????5¡Á??¨®??	?¨´??????6?¨¤??	?¨´??????6¡Á?????	?¨´??????6¡Á??¨®??	?¨´??????7?¨¤??	?¨´??????7¡Á?????	?¨´??????7¡Á??¨®??	?¨¨?¨®????1?¨¤??	?¨¨?¨®????1????	?¨¨?¨®????2?¨¤??	?¨¨?¨®????2????	?¨¨?¨®????3?¨¤??	?¨¨?¨®????3????	?¨¨?¨®????4?¨¤??	?¨¨?¨®????4????	?¨¨?¨®????5?¨¤??	?¨¨?¨®????5????	?¨¨?¨®????6?¨¤??	?¨¨?¨®????6????
LiÖt Hoµng M·	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh thÕ nµo ch¹y còng kh«ng nhanh"	0	5000	1	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	20										
LiÖt Hoµng M·	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh thÕ nµo ch¹y còng kh«ng nhanh"	0	5000	2	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	25										
Hoµng M·	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬I xanh tÝa, hµnh tr×nh rÊt kÐm"	0	10000	3	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	30										
Hoµng M·	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬I xanh tÝa, hµnh tr×nh rÊt kÐm"	0	10000	4	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	35										
Hoµng Phiªu	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi quý, ngµy ®I tr¨m dÆm"	0	20000	5	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	40										
Hoµng Phiªu	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi quý, ngµy ®I tr¨m dÆm"	0	20000	6	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	45										
§¹i UyÔn Hoµng M·	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i tua61n m· hiÕm thÊy, ngh×n vµng khã mua"	0	50000	7	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	50										
§¹i UyÔn Hoµng M·	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i tua61n m· hiÕm thÊy, ngh×n vµng khã mua"	0	50000	8	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	55										
Phi Hoµng	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®I ngh×n dÆm"	0	100000	9	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	60										
Phi Hoµng	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®I ngh×n dÆm"	0	100000	10	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	72										
