Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	TypeItem	GroupItem	Level	Series	Type1	Min1	Max1	Type2	Min2	Max2	Type3	Min3	Max3	Type4	Min4	Max4	Type5	Min5	Max5	Type6	Min6	Max6
Kim TiÒn tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	Lo¹i phi tiªu b»ng ®ång th«ng th­êng. 		6	1	1	28	4	4	29	9	9	167	0	0	31	100	100										36	0			33	30							0																					
ThiÕu L©m T¸o Nh©n Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	"¸m khÝ b»ng ®ång, nhá nh­ h¹t t¸o. "		10	2	1	28	7	7	29	18	18	167	0	0	31	100	100										36	9	32	10	33	45							0																					
YÕn tö Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart01.spr	15	1	1	"Lo¹i phi tiªu nh­ ®u«i chim yÕn, bay kh«ng nghe tiÕng kªu, h¹ thñ chÝnh x¸c. "		13	3	1	28	12	12	29	28	28	167	0	0	31	100	100										36	18	32	15	33	60							0																					
ThËp tù tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	"Lo¹i phi tiªu c¸c nhÉn gi¶ NhËt B¶n th­êng thÝch sö dông, nh­ng tiÕng kªu rÊt to. "		20	4	1	28	15	15	29	36	36	167	0	0	31	100	100										36	27	32	20	33	75							0																					
LiÔu DiÖp tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	"Máng nh­ l¸ liÔu, kü thuËt ph¶i thËt ®iªu luyÖn míi cã thÓ phãng tróng. "		26	5	1	28	19	19	29	44	44	167	0	0	31	100	100										36	36	32	30	33	90							0																					
Phi Hoµng Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart02.spr	15	1	1	"Th©n cã hai c¸nh, sau ®u«i cã mét mãc c©u, lµ lo¹i ¸m khÝ rÊt lîi h¹i. "		33	6	1	28	23	23	29	54	54	167	0	0	31	100	100										36	45	32	40	33	105							0																					
ThiÕu L©m L­îng Ng©n Phi Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	"Ng­êi xuÊt gia lÊy tõ bi lµm ®Çu, ¸m khÝ chØ s¸t th­¬ng nhÑ. "		46	7	1	28	27	27	29	63	63	167	0	0	31	100	100										36	54	32	50	33	120							0																					
Hå §iÖp Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	"H×nh nh­ b­¬m b­ím, cã thÓ bay l­în trong kh«ng trung. "		60	8	1	28	31	31	29	72	72	167	0	0	31	100	100										36	63	32	60	33	135							0																					
Kim Tiªu 	0	1	0	\spr\item\equip\rangeweapon\obj-adart03.spr	15	1	1	"Lo¹i phi tiªu b»ng s¾t ®Çu bÞt vµng, nhän vµ rÊt nÆng, ph¶i cã søc m¹nh míi cã thÓ sö dông. "		83	9	1	28	34	34	29	81	81	167	0	0	31	100	100										36	72	32	70	33	150							0																					
B¸ V­¬ngTiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	"Lo¹i phi tiªu nµy ®óng ra ph¶i gäi lµ mminh khÝ, h×nh d¹ng to lín kh«ng thÓ gäi lµ ¸m khÝ. "		110	10	1	28	38	38	29	89	89	167	0	0	31	100	100										36	81	32	80	33	155							0																					
